id,affected_count,ai_assisted,check_type,created_at,details,status,summary,total_checked
700000,0,1,APPLICATION,2022-05-18 00:08:09,"{""synthetic"": true, ""batch"": 0}",PARTIAL,Synthetic automated check,25
700001,1,0,CLAIM,2023-02-07 20:16:38,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,26
700002,2,0,PAYMENT,2021-10-02 12:45:03,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,27
700003,3,0,REVISION_CLEANUP,2022-12-06 07:38:13,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,28
700004,4,0,APPLICATION,2025-10-19 08:50:24,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,29
700005,5,1,CLAIM,2025-07-11 13:16:46,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,30
700006,6,0,PAYMENT,2021-09-29 01:30:09,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,31
700007,7,0,REVISION_CLEANUP,2023-10-04 07:50:04,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,32
700008,8,0,APPLICATION,2024-07-18 05:56:28,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,33
700009,9,0,CLAIM,2025-04-20 16:53:20,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,34
700010,10,1,PAYMENT,2024-07-13 09:45:08,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,35
700011,11,0,REVISION_CLEANUP,2023-09-18 15:31:20,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,36
700012,12,0,APPLICATION,2023-07-08 04:07:28,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,37
700013,13,0,CLAIM,2026-07-23 19:20:58,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,38
700014,14,0,PAYMENT,2022-04-12 20:56:26,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,39
700015,15,1,REVISION_CLEANUP,2021-12-12 10:15:12,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,40
700016,16,0,APPLICATION,2026-07-14 22:33:32,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,41
700017,0,0,CLAIM,2021-09-10 02:59:57,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,42
700018,1,0,PAYMENT,2023-06-16 19:46:55,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,43
700019,2,0,REVISION_CLEANUP,2025-12-05 22:31:40,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,44
700020,3,1,APPLICATION,2024-01-18 09:47:35,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,45
700021,4,0,CLAIM,2023-10-23 14:32:12,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,46
700022,5,0,PAYMENT,2025-10-08 08:13:06,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,47
700023,6,0,REVISION_CLEANUP,2023-01-26 08:07:28,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,48
700024,7,0,APPLICATION,2023-07-08 22:44:56,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,49
700025,8,1,CLAIM,2023-12-21 18:32:54,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,50
700026,9,0,PAYMENT,2024-03-27 03:23:47,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,51
700027,10,0,REVISION_CLEANUP,2022-06-03 10:19:33,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,52
700028,11,0,APPLICATION,2023-08-09 11:57:55,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,53
700029,12,0,CLAIM,2022-02-08 09:59:32,"{""synthetic"": true, ""batch"": 0}",PARTIAL,Synthetic automated check,54
700030,13,1,PAYMENT,2021-10-20 07:25:45,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,55
700031,14,0,REVISION_CLEANUP,2023-09-25 04:07:18,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,56
700032,15,0,APPLICATION,2022-06-02 21:14:25,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,57
700033,16,0,CLAIM,2023-07-31 19:21:53,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,58
700034,0,0,PAYMENT,2026-07-26 13:29:27,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,59
700035,1,1,REVISION_CLEANUP,2024-01-01 05:29:38,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,60
700036,2,0,APPLICATION,2022-04-10 21:39:26,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,61
700037,3,0,CLAIM,2022-11-25 20:52:39,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,62
700038,4,0,PAYMENT,2022-07-11 08:04:11,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,63
700039,5,0,REVISION_CLEANUP,2025-10-19 16:26:41,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,64
700040,6,1,APPLICATION,2022-06-16 02:15:18,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,65
700041,7,0,CLAIM,2023-09-20 03:01:10,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,66
700042,8,0,PAYMENT,2023-12-12 13:45:49,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,67
700043,9,0,REVISION_CLEANUP,2024-12-01 16:40:46,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,68
700044,10,0,APPLICATION,2023-08-23 08:40:49,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,69
700045,11,1,CLAIM,2023-03-16 21:29:02,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,70
700046,12,0,PAYMENT,2021-12-09 06:24:45,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,71
700047,13,0,REVISION_CLEANUP,2022-06-04 05:17:04,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,72
700048,14,0,APPLICATION,2022-05-21 00:55:36,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,73
700049,15,0,CLAIM,2024-01-27 09:36:07,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,74
700050,16,1,PAYMENT,2026-07-14 12:36:51,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,75
700051,0,0,REVISION_CLEANUP,2022-01-10 15:26:55,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,76
700052,1,0,APPLICATION,2024-08-31 11:39:25,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,77
700053,2,0,CLAIM,2023-12-30 23:15:49,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,78
700054,3,0,PAYMENT,2023-04-26 16:44:51,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,79
700055,4,1,REVISION_CLEANUP,2023-05-19 20:10:16,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,80
700056,5,0,APPLICATION,2023-02-23 21:32:16,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,81
700057,6,0,CLAIM,2025-08-03 21:04:37,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,82
700058,7,0,PAYMENT,2026-02-15 18:22:07,"{""synthetic"": true, ""batch"": 0}",PARTIAL,Synthetic automated check,83
700059,8,0,REVISION_CLEANUP,2025-12-29 14:57:31,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,84
700060,9,1,APPLICATION,2023-07-11 18:11:00,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,85
700061,10,0,CLAIM,2024-07-01 09:07:43,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,86
700062,11,0,PAYMENT,2022-03-03 03:51:11,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,87
700063,12,0,REVISION_CLEANUP,2024-05-19 17:49:17,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,88
700064,13,0,APPLICATION,2022-02-20 22:08:54,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,89
700065,14,1,CLAIM,2024-10-07 19:35:56,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,90
700066,15,0,PAYMENT,2024-11-01 17:28:03,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,91
700067,16,0,REVISION_CLEANUP,2023-03-23 03:32:23,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,92
700068,0,0,APPLICATION,2025-06-14 11:05:15,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,93
700069,1,0,CLAIM,2023-01-05 01:48:38,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,94
700070,2,1,PAYMENT,2024-04-14 01:36:43,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,95
700071,3,0,REVISION_CLEANUP,2025-10-27 04:37:56,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,96
700072,4,0,APPLICATION,2025-09-03 12:36:18,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,97
700073,5,0,CLAIM,2023-07-28 21:07:16,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,98
