id,category,created_at,message,rating,is_read,customer_id
500000,SERVICE,2024-04-29 00:06:37,Synthetic feedback message 1; no real customer data.,1,0,100251
500001,PAYMENT,2025-11-13 22:48:30,Synthetic feedback message 2; no real customer data.,2,1,100252
500002,CLAIM,2026-05-14 21:51:56,Synthetic feedback message 3; no real customer data.,3,1,100253
500003,APPLICATION,2022-05-30 09:57:06,Synthetic feedback message 4; no real customer data.,4,1,100254
500004,PORTAL,2024-09-12 09:22:22,Synthetic feedback message 5; no real customer data.,5,0,100255
500005,SERVICE,2022-01-10 09:24:17,Synthetic feedback message 6; no real customer data.,1,1,100256
500006,PAYMENT,2026-07-13 07:13:27,Synthetic feedback message 7; no real customer data.,2,1,100257
500007,CLAIM,2023-05-28 20:38:43,Synthetic feedback message 8; no real customer data.,3,1,100258
500008,APPLICATION,2022-03-29 10:16:49,Synthetic feedback message 9; no real customer data.,4,0,100259
500009,PORTAL,2025-07-10 11:28:32,Synthetic feedback message 10; no real customer data.,5,1,100260
500010,SERVICE,2026-06-27 09:23:44,Synthetic feedback message 11; no real customer data.,1,1,100261
500011,PAYMENT,2024-04-28 18:25:56,Synthetic feedback message 12; no real customer data.,2,1,100262
500012,CLAIM,2024-05-05 11:09:03,Synthetic feedback message 13; no real customer data.,3,0,100263
500013,APPLICATION,2022-01-11 04:44:36,Synthetic feedback message 14; no real customer data.,4,1,100264
500014,PORTAL,2021-10-14 03:37:25,Synthetic feedback message 15; no real customer data.,5,1,100265
500015,SERVICE,2024-03-01 06:24:25,Synthetic feedback message 16; no real customer data.,1,1,100266
500016,PAYMENT,2023-03-19 10:07:41,Synthetic feedback message 17; no real customer data.,2,0,100267
500017,CLAIM,2023-01-08 05:10:27,Synthetic feedback message 18; no real customer data.,3,1,100268
500018,APPLICATION,2026-02-20 23:39:26,Synthetic feedback message 19; no real customer data.,4,1,100269
500019,PORTAL,2023-11-13 09:29:12,Synthetic feedback message 20; no real customer data.,5,1,100270
500020,SERVICE,2022-06-14 18:31:20,Synthetic feedback message 21; no real customer data.,1,0,100271
500021,PAYMENT,2024-02-24 00:52:21,Synthetic feedback message 22; no real customer data.,2,1,100272
500022,CLAIM,2024-06-13 18:46:38,Synthetic feedback message 23; no real customer data.,3,1,100273
500023,APPLICATION,2023-03-20 05:07:42,Synthetic feedback message 24; no real customer data.,4,1,100274
500024,PORTAL,2024-02-04 02:54:25,Synthetic feedback message 25; no real customer data.,5,0,100275
500025,SERVICE,2022-04-22 21:53:17,Synthetic feedback message 26; no real customer data.,1,1,100276
500026,PAYMENT,2022-03-18 02:32:35,Synthetic feedback message 27; no real customer data.,2,1,100277
500027,CLAIM,2025-03-15 15:28:31,Synthetic feedback message 28; no real customer data.,3,1,100278
500028,APPLICATION,2025-08-24 22:10:18,Synthetic feedback message 29; no real customer data.,4,0,100279
