id,created_at,message,is_read,target_role,title,type,recipient_id
600000,2023-06-14 11:52:30,Synthetic notification 1 for system testing.,0,ADMIN,Synthetic Info Notification,INFO,100000
600001,2023-03-18 03:59:50,Synthetic notification 2 for system testing.,1,AGENT,Synthetic Approval Notification,APPROVAL,100001
600002,2024-03-03 02:20:09,Synthetic notification 3 for system testing.,1,AGENT,Synthetic Rejection Notification,REJECTION,100002
600003,2025-07-21 22:16:21,Synthetic notification 4 for system testing.,0,AGENT,Synthetic Payment Notification,PAYMENT,100003
600004,2024-03-20 01:50:31,Synthetic notification 5 for system testing.,1,AGENT,Synthetic Claim Notification,CLAIM,100004
600005,2021-12-06 16:03:23,Synthetic notification 6 for system testing.,1,AGENT,Synthetic Reminder Notification,REMINDER,100005
600006,2021-12-08 07:44:50,Synthetic notification 7 for system testing.,0,AGENT,Synthetic Info Notification,INFO,100006
600007,2026-02-15 18:16:00,Synthetic notification 8 for system testing.,1,AGENT,Synthetic Approval Notification,APPROVAL,100007
600008,2023-10-25 05:47:17,Synthetic notification 9 for system testing.,1,AGENT,Synthetic Rejection Notification,REJECTION,100008
600009,2026-05-12 02:51:27,Synthetic notification 10 for system testing.,0,AGENT,Synthetic Payment Notification,PAYMENT,100009
600010,2026-01-04 21:33:38,Synthetic notification 11 for system testing.,1,AGENT,Synthetic Claim Notification,CLAIM,100010
600011,2023-12-26 15:43:33,Synthetic notification 12 for system testing.,1,AGENT,Synthetic Reminder Notification,REMINDER,100011
600012,2025-07-04 19:14:58,Synthetic notification 13 for system testing.,0,AGENT,Synthetic Info Notification,INFO,100012
600013,2021-09-08 04:43:29,Synthetic notification 14 for system testing.,1,AGENT,Synthetic Approval Notification,APPROVAL,100013
600014,2022-11-10 10:32:43,Synthetic notification 15 for system testing.,1,AGENT,Synthetic Rejection Notification,REJECTION,100014
600015,2026-04-16 06:51:54,Synthetic notification 16 for system testing.,0,AGENT,Synthetic Payment Notification,PAYMENT,100015
600016,2026-03-06 17:41:14,Synthetic notification 17 for system testing.,1,AGENT,Synthetic Claim Notification,CLAIM,100016
600017,2022-05-04 08:52:00,Synthetic notification 18 for system testing.,1,AGENT,Synthetic Reminder Notification,REMINDER,100017
600018,2025-06-10 19:49:52,Synthetic notification 19 for system testing.,0,AGENT,Synthetic Info Notification,INFO,100018
600019,2021-11-17 23:54:30,Synthetic notification 20 for system testing.,1,AGENT,Synthetic Approval Notification,APPROVAL,100019
600020,2025-02-01 06:07:39,Synthetic notification 21 for system testing.,1,AGENT,Synthetic Rejection Notification,REJECTION,100020
600021,2025-04-25 21:08:03,Synthetic notification 22 for system testing.,0,AGENT,Synthetic Payment Notification,PAYMENT,100021
600022,2022-08-24 20:34:59,Synthetic notification 23 for system testing.,1,AGENT,Synthetic Claim Notification,CLAIM,100022
600023,2024-02-29 21:53:21,Synthetic notification 24 for system testing.,1,AGENT,Synthetic Reminder Notification,REMINDER,100023
600024,2024-09-17 19:43:58,Synthetic notification 25 for system testing.,0,AGENT,Synthetic Info Notification,INFO,100024
600025,2022-09-09 06:54:08,Synthetic notification 26 for system testing.,1,AGENT,Synthetic Approval Notification,APPROVAL,100025
600026,2026-05-24 03:54:54,Synthetic notification 27 for system testing.,1,AGENT,Synthetic Rejection Notification,REJECTION,100026
600027,2024-08-02 09:40:25,Synthetic notification 28 for system testing.,0,AGENT,Synthetic Payment Notification,PAYMENT,100027
600028,2024-07-06 19:42:40,Synthetic notification 29 for system testing.,1,AGENT,Synthetic Claim Notification,CLAIM,100028
600029,2024-06-11 21:04:48,Synthetic notification 30 for system testing.,1,AGENT,Synthetic Reminder Notification,REMINDER,100029
600030,2022-06-11 03:34:08,Synthetic notification 31 for system testing.,0,AGENT,Synthetic Info Notification,INFO,100030
600031,2024-11-08 02:46:57,Synthetic notification 32 for system testing.,1,AGENT,Synthetic Approval Notification,APPROVAL,100031
600032,2025-07-29 05:20:48,Synthetic notification 33 for system testing.,1,AGENT,Synthetic Rejection Notification,REJECTION,100032
600033,2022-09-21 01:00:09,Synthetic notification 34 for system testing.,0,AGENT,Synthetic Payment Notification,PAYMENT,100033
600034,2024-02-22 16:56:04,Synthetic notification 35 for system testing.,1,AGENT,Synthetic Claim Notification,CLAIM,100034
600035,2024-10-01 01:01:19,Synthetic notification 36 for system testing.,1,AGENT,Synthetic Reminder Notification,REMINDER,100035
600036,2026-01-02 00:59:27,Synthetic notification 37 for system testing.,0,AGENT,Synthetic Info Notification,INFO,100036
600037,2023-09-11 19:17:01,Synthetic notification 38 for system testing.,1,AGENT,Synthetic Approval Notification,APPROVAL,100037
600038,2025-12-09 02:35:40,Synthetic notification 39 for system testing.,1,AGENT,Synthetic Rejection Notification,REJECTION,100038
600039,2025-07-07 19:58:49,Synthetic notification 40 for system testing.,0,AGENT,Synthetic Payment Notification,PAYMENT,100039
600040,2022-02-04 01:04:27,Synthetic notification 41 for system testing.,1,AGENT,Synthetic Claim Notification,CLAIM,100040
600041,2025-10-25 09:09:40,Synthetic notification 42 for system testing.,1,AGENT,Synthetic Reminder Notification,REMINDER,100041
600042,2024-01-21 08:27:18,Synthetic notification 43 for system testing.,0,AGENT,Synthetic Info Notification,INFO,100042
600043,2021-10-02 17:24:57,Synthetic notification 44 for system testing.,1,AGENT,Synthetic Approval Notification,APPROVAL,100043
600044,2024-08-25 12:31:44,Synthetic notification 45 for system testing.,1,AGENT,Synthetic Rejection Notification,REJECTION,100044
600045,2024-10-06 16:59:40,Synthetic notification 46 for system testing.,0,AGENT,Synthetic Payment Notification,PAYMENT,100045
600046,2021-09-23 19:49:19,Synthetic notification 47 for system testing.,1,AGENT,Synthetic Claim Notification,CLAIM,100046
600047,2023-09-20 14:15:08,Synthetic notification 48 for system testing.,1,AGENT,Synthetic Reminder Notification,REMINDER,100047
600048,2025-05-23 06:44:08,Synthetic notification 49 for system testing.,0,AGENT,Synthetic Info Notification,INFO,100048
600049,2022-03-18 00:57:47,Synthetic notification 50 for system testing.,1,AGENT,Synthetic Approval Notification,APPROVAL,100049
600050,2025-07-26 01:36:18,Synthetic notification 51 for system testing.,1,AGENT,Synthetic Rejection Notification,REJECTION,100050
600051,2026-06-04 02:19:55,Synthetic notification 52 for system testing.,0,AGENT,Synthetic Payment Notification,PAYMENT,100051
600052,2025-06-20 21:59:09,Synthetic notification 53 for system testing.,1,AGENT,Synthetic Claim Notification,CLAIM,100052
600053,2021-11-05 19:39:55,Synthetic notification 54 for system testing.,1,AGENT,Synthetic Reminder Notification,REMINDER,100053
600054,2026-02-09 13:00:28,Synthetic notification 55 for system testing.,0,AGENT,Synthetic Info Notification,INFO,100054
600055,2022-08-14 12:51:11,Synthetic notification 56 for system testing.,1,AGENT,Synthetic Approval Notification,APPROVAL,100055
600056,2023-08-30 04:32:42,Synthetic notification 57 for system testing.,1,AGENT,Synthetic Rejection Notification,REJECTION,100056
600057,2024-08-20 02:52:53,Synthetic notification 58 for system testing.,0,AGENT,Synthetic Payment Notification,PAYMENT,100057
600058,2025-08-13 07:03:56,Synthetic notification 59 for system testing.,1,AGENT,Synthetic Claim Notification,CLAIM,100058
600059,2024-11-28 22:24:08,Synthetic notification 60 for system testing.,1,AGENT,Synthetic Reminder Notification,REMINDER,100059
600060,2022-03-22 11:09:02,Synthetic notification 61 for system testing.,0,AGENT,Synthetic Info Notification,INFO,100060
600061,2023-12-17 18:30:32,Synthetic notification 62 for system testing.,1,AGENT,Synthetic Approval Notification,APPROVAL,100061
600062,2024-10-12 22:50:11,Synthetic notification 63 for system testing.,1,AGENT,Synthetic Rejection Notification,REJECTION,100062
600063,2022-03-11 06:08:19,Synthetic notification 64 for system testing.,0,AGENT,Synthetic Payment Notification,PAYMENT,100063
600064,2022-04-03 20:24:41,Synthetic notification 65 for system testing.,1,AGENT,Synthetic Claim Notification,CLAIM,100064
600065,2024-09-10 07:42:13,Synthetic notification 66 for system testing.,1,AGENT,Synthetic Reminder Notification,REMINDER,100065
600066,2022-06-21 07:28:15,Synthetic notification 67 for system testing.,0,AGENT,Synthetic Info Notification,INFO,100066
600067,2025-07-30 06:56:25,Synthetic notification 68 for system testing.,1,AGENT,Synthetic Approval Notification,APPROVAL,100067
600068,2025-05-04 12:07:11,Synthetic notification 69 for system testing.,1,AGENT,Synthetic Rejection Notification,REJECTION,100068
600069,2025-02-08 05:59:12,Synthetic notification 70 for system testing.,0,AGENT,Synthetic Payment Notification,PAYMENT,100069
600070,2026-08-01 23:46:23,Synthetic notification 71 for system testing.,1,AGENT,Synthetic Claim Notification,CLAIM,100070
600071,2023-04-04 05:17:53,Synthetic notification 72 for system testing.,1,AGENT,Synthetic Reminder Notification,REMINDER,100071
600072,2025-09-22 11:12:49,Synthetic notification 73 for system testing.,0,AGENT,Synthetic Info Notification,INFO,100072
600073,2023-04-26 03:29:52,Synthetic notification 74 for system testing.,1,AGENT,Synthetic Approval Notification,APPROVAL,100073
600074,2021-09-07 21:23:28,Synthetic notification 75 for system testing.,1,AGENT,Synthetic Rejection Notification,REJECTION,100074
600075,2023-08-13 09:02:51,Synthetic notification 76 for system testing.,0,AGENT,Synthetic Payment Notification,PAYMENT,100075
600076,2024-08-30 20:17:32,Synthetic notification 77 for system testing.,1,AGENT,Synthetic Claim Notification,CLAIM,100076
600077,2026-04-28 02:54:54,Synthetic notification 78 for system testing.,1,AGENT,Synthetic Reminder Notification,REMINDER,100077
600078,2021-12-12 02:52:59,Synthetic notification 79 for system testing.,0,AGENT,Synthetic Info Notification,INFO,100078
600079,2023-06-10 16:08:05,Synthetic notification 80 for system testing.,1,AGENT,Synthetic Approval Notification,APPROVAL,100079
600080,2024-06-25 15:57:01,Synthetic notification 81 for system testing.,1,AGENT,Synthetic Rejection Notification,REJECTION,100080
600081,2021-09-13 04:56:40,Synthetic notification 82 for system testing.,0,AGENT,Synthetic Payment Notification,PAYMENT,100081
600082,2025-06-25 10:28:03,Synthetic notification 83 for system testing.,1,AGENT,Synthetic Claim Notification,CLAIM,100082
600083,2022-07-31 00:15:32,Synthetic notification 84 for system testing.,1,AGENT,Synthetic Reminder Notification,REMINDER,100083
600084,2024-12-27 18:34:19,Synthetic notification 85 for system testing.,0,AGENT,Synthetic Info Notification,INFO,100084
600085,2021-10-05 01:28:07,Synthetic notification 86 for system testing.,1,AGENT,Synthetic Approval Notification,APPROVAL,100085
600086,2023-11-27 10:01:56,Synthetic notification 87 for system testing.,1,AGENT,Synthetic Rejection Notification,REJECTION,100086
600087,2022-02-10 06:23:29,Synthetic notification 88 for system testing.,0,AGENT,Synthetic Payment Notification,PAYMENT,100087
600088,2022-02-19 08:10:48,Synthetic notification 89 for system testing.,1,AGENT,Synthetic Claim Notification,CLAIM,100088
600089,2022-03-03 10:48:36,Synthetic notification 90 for system testing.,1,AGENT,Synthetic Reminder Notification,REMINDER,100089
600090,2023-12-04 01:17:53,Synthetic notification 91 for system testing.,0,AGENT,Synthetic Info Notification,INFO,100090
600091,2024-03-06 11:01:06,Synthetic notification 92 for system testing.,1,AGENT,Synthetic Approval Notification,APPROVAL,100091
600092,2024-03-14 11:15:45,Synthetic notification 93 for system testing.,1,AGENT,Synthetic Rejection Notification,REJECTION,100092
600093,2022-02-04 18:13:08,Synthetic notification 94 for system testing.,0,AGENT,Synthetic Payment Notification,PAYMENT,100093
600094,2022-01-09 15:21:18,Synthetic notification 95 for system testing.,1,AGENT,Synthetic Claim Notification,CLAIM,100094
600095,2024-08-11 21:19:14,Synthetic notification 96 for system testing.,1,AGENT,Synthetic Reminder Notification,REMINDER,100095
600096,2023-03-07 00:02:40,Synthetic notification 97 for system testing.,0,AGENT,Synthetic Info Notification,INFO,100096
600097,2026-03-28 18:37:59,Synthetic notification 98 for system testing.,1,AGENT,Synthetic Approval Notification,APPROVAL,100097
600098,2025-10-04 11:33:35,Synthetic notification 99 for system testing.,1,AGENT,Synthetic Rejection Notification,REJECTION,100098
600099,2025-06-05 00:13:15,Synthetic notification 100 for system testing.,0,AGENT,Synthetic Payment Notification,PAYMENT,100099
600100,2023-09-09 04:20:18,Synthetic notification 101 for system testing.,1,AGENT,Synthetic Claim Notification,CLAIM,100100
600101,2022-12-23 21:16:54,Synthetic notification 102 for system testing.,1,AGENT,Synthetic Reminder Notification,REMINDER,100101
600102,2025-12-24 23:51:15,Synthetic notification 103 for system testing.,0,AGENT,Synthetic Info Notification,INFO,100102
600103,2021-11-02 16:26:32,Synthetic notification 104 for system testing.,1,AGENT,Synthetic Approval Notification,APPROVAL,100103
600104,2022-09-06 15:02:45,Synthetic notification 105 for system testing.,1,AGENT,Synthetic Rejection Notification,REJECTION,100104
600105,2025-05-22 21:40:35,Synthetic notification 106 for system testing.,0,AGENT,Synthetic Payment Notification,PAYMENT,100105
600106,2024-06-13 09:23:33,Synthetic notification 107 for system testing.,1,AGENT,Synthetic Claim Notification,CLAIM,100106
600107,2023-10-09 08:00:55,Synthetic notification 108 for system testing.,1,AGENT,Synthetic Reminder Notification,REMINDER,100107
600108,2022-01-04 13:44:20,Synthetic notification 109 for system testing.,0,AGENT,Synthetic Info Notification,INFO,100108
600109,2022-04-26 08:19:45,Synthetic notification 110 for system testing.,1,AGENT,Synthetic Approval Notification,APPROVAL,100109
600110,2023-05-27 10:18:41,Synthetic notification 111 for system testing.,1,AGENT,Synthetic Rejection Notification,REJECTION,100110
600111,2023-02-03 02:43:54,Synthetic notification 112 for system testing.,0,AGENT,Synthetic Payment Notification,PAYMENT,100111
600112,2024-11-03 19:31:58,Synthetic notification 113 for system testing.,1,AGENT,Synthetic Claim Notification,CLAIM,100112
600113,2022-09-26 19:52:46,Synthetic notification 114 for system testing.,1,AGENT,Synthetic Reminder Notification,REMINDER,100113
600114,2021-11-01 14:11:58,Synthetic notification 115 for system testing.,0,AGENT,Synthetic Info Notification,INFO,100114
600115,2025-10-16 22:04:41,Synthetic notification 116 for system testing.,1,AGENT,Synthetic Approval Notification,APPROVAL,100115
600116,2025-01-22 11:09:59,Synthetic notification 117 for system testing.,1,AGENT,Synthetic Rejection Notification,REJECTION,100116
600117,2024-08-29 15:04:25,Synthetic notification 118 for system testing.,0,AGENT,Synthetic Payment Notification,PAYMENT,100117
600118,2022-10-06 10:12:38,Synthetic notification 119 for system testing.,1,AGENT,Synthetic Claim Notification,CLAIM,100118
600119,2022-03-23 19:27:37,Synthetic notification 120 for system testing.,1,AGENT,Synthetic Reminder Notification,REMINDER,100119
600120,2025-02-23 18:36:53,Synthetic notification 121 for system testing.,0,AGENT,Synthetic Info Notification,INFO,100120
600121,2026-05-19 12:51:41,Synthetic notification 122 for system testing.,1,AGENT,Synthetic Approval Notification,APPROVAL,100121
600122,2024-08-24 15:11:58,Synthetic notification 123 for system testing.,1,AGENT,Synthetic Rejection Notification,REJECTION,100122
600123,2022-04-28 17:16:40,Synthetic notification 124 for system testing.,0,AGENT,Synthetic Payment Notification,PAYMENT,100123
600124,2025-06-03 14:35:29,Synthetic notification 125 for system testing.,1,AGENT,Synthetic Claim Notification,CLAIM,100124
600125,2024-09-16 02:45:00,Synthetic notification 126 for system testing.,1,AGENT,Synthetic Reminder Notification,REMINDER,100125
600126,2024-10-04 16:31:35,Synthetic notification 127 for system testing.,0,AGENT,Synthetic Info Notification,INFO,100126
600127,2023-10-15 06:16:37,Synthetic notification 128 for system testing.,1,AGENT,Synthetic Approval Notification,APPROVAL,100127
600128,2025-04-01 02:39:30,Synthetic notification 129 for system testing.,1,AGENT,Synthetic Rejection Notification,REJECTION,100128
600129,2025-09-29 23:12:13,Synthetic notification 130 for system testing.,0,AGENT,Synthetic Payment Notification,PAYMENT,100129
600130,2025-12-10 15:11:25,Synthetic notification 131 for system testing.,1,AGENT,Synthetic Claim Notification,CLAIM,100130
600131,2024-02-19 07:46:41,Synthetic notification 132 for system testing.,1,AGENT,Synthetic Reminder Notification,REMINDER,100131
600132,2025-07-09 00:42:17,Synthetic notification 133 for system testing.,0,AGENT,Synthetic Info Notification,INFO,100132
600133,2022-04-27 12:19:45,Synthetic notification 134 for system testing.,1,AGENT,Synthetic Approval Notification,APPROVAL,100133
600134,2022-03-29 02:46:46,Synthetic notification 135 for system testing.,1,AGENT,Synthetic Rejection Notification,REJECTION,100134
600135,2023-03-19 08:56:37,Synthetic notification 136 for system testing.,0,AGENT,Synthetic Payment Notification,PAYMENT,100135
600136,2021-11-23 10:34:34,Synthetic notification 137 for system testing.,1,AGENT,Synthetic Claim Notification,CLAIM,100136
600137,2021-12-28 04:54:56,Synthetic notification 138 for system testing.,1,AGENT,Synthetic Reminder Notification,REMINDER,100137
600138,2022-08-07 22:45:44,Synthetic notification 139 for system testing.,0,AGENT,Synthetic Info Notification,INFO,100138
600139,2023-03-03 09:01:27,Synthetic notification 140 for system testing.,1,AGENT,Synthetic Approval Notification,APPROVAL,100139
600140,2026-08-22 07:29:32,Synthetic notification 141 for system testing.,1,AGENT,Synthetic Rejection Notification,REJECTION,100140
600141,2025-06-19 02:06:46,Synthetic notification 142 for system testing.,0,AGENT,Synthetic Payment Notification,PAYMENT,100141
600142,2025-07-29 02:30:20,Synthetic notification 143 for system testing.,1,AGENT,Synthetic Claim Notification,CLAIM,100142
600143,2023-02-28 08:38:45,Synthetic notification 144 for system testing.,1,AGENT,Synthetic Reminder Notification,REMINDER,100143
