id,amount,created_at,notes,payment_method,payment_type,period_label,period_number,screenshot_path,status,transaction_amount,transaction_last_six_digits,updated_at,verified_by,application_id,customer_id
300000,7865.15,2021-09-03 10:32:06,Synthetic payment record,KBZ_PAY,PREMIUM,2021-09,1,,VERIFIED,7865.15,000000,2021-09-06 10:32:06,synthetic-generator,200000,100251
300001,4840.65,2021-10-07 12:46:32,Synthetic payment record,WAVE_PAY,PREMIUM,2021-10,2,,VERIFIED,4840.65,000001,2021-10-09 12:46:32,synthetic-generator,200001,100252
300002,14127.99,2021-11-16 05:13:05,Synthetic payment record,AYA_PAY,PREMIUM,2021-11,3,,VERIFIED,14127.99,000002,2021-11-19 05:13:05,synthetic-generator,200002,100253
300003,47604.82,2021-12-03 11:23:04,Synthetic payment record,BANK_TRANSFER,PREMIUM,2021-12,4,,VERIFIED,47604.82,000003,2021-12-06 11:23:04,synthetic-generator,200003,100254
300004,22741.14,2022-01-09 02:55:47,Synthetic payment record,KBZ_PAY,PREMIUM,2022-01,5,,VERIFIED,22741.14,000004,2022-01-10 02:55:47,synthetic-generator,200004,100255
300005,3364.47,2022-02-15 09:26:57,Synthetic payment record,WAVE_PAY,PREMIUM,2022-02,6,,VERIFIED,3364.47,000005,2022-02-17 09:26:57,synthetic-generator,200005,100256
300006,7231.05,2022-03-17 17:18:56,Synthetic payment record,AYA_PAY,PREMIUM,2022-03,7,,VERIFIED,7231.05,000006,2022-03-20 17:18:56,synthetic-generator,200006,100257
300007,10097.57,2022-04-13 09:40:37,Synthetic payment record,BANK_TRANSFER,PREMIUM,2022-04,8,,VERIFIED,10097.57,000007,2022-04-13 09:40:37,synthetic-generator,200007,100258
300008,5500.01,2022-05-28 04:31:35,Synthetic payment record,KBZ_PAY,PREMIUM,2022-05,9,,VERIFIED,5500.01,000008,2022-05-31 04:31:35,synthetic-generator,200008,100259
300009,26328.17,2022-06-07 11:57:38,Synthetic payment record,WAVE_PAY,PREMIUM,2022-06,10,,VERIFIED,26328.17,000009,2022-06-08 11:57:38,synthetic-generator,200009,100260
300010,33077.44,2022-07-24 01:25:13,Synthetic payment record,AYA_PAY,RENEWAL,2022-07,11,,VERIFIED,33077.44,000010,2022-07-27 01:25:13,synthetic-generator,200010,100261
300011,25262.52,2022-08-29 13:39:40,Synthetic payment record,BANK_TRANSFER,PREMIUM,2022-08,12,,VERIFIED,25262.52,000011,2022-09-01 13:39:40,synthetic-generator,200011,100262
300012,1000.00,2022-09-13 06:20:13,Synthetic payment record,KBZ_PAY,PREMIUM,2022-09,1,,VERIFIED,1000.00,000012,2022-09-16 06:20:13,synthetic-generator,200012,100263
300013,17217.18,2022-10-16 02:30:35,Synthetic payment record,WAVE_PAY,PREMIUM,2022-10,2,,VERIFIED,17217.18,000013,2022-10-17 02:30:35,synthetic-generator,200013,100264
300014,10184.72,2022-11-29 11:18:12,Synthetic payment record,AYA_PAY,PREMIUM,2022-11,3,,VERIFIED,10184.72,000014,2022-11-30 11:18:12,synthetic-generator,200014,100265
300015,41218.11,2022-12-27 16:05:16,Synthetic payment record,BANK_TRANSFER,PREMIUM,2022-12,4,,VERIFIED,41218.11,000015,2022-12-28 16:05:16,synthetic-generator,200015,100266
300016,13484.74,2023-01-27 10:39:47,Synthetic payment record,KBZ_PAY,PREMIUM,2023-01,5,,PENDING,13484.74,000016,2023-01-30 10:39:47,,200016,100267
300017,22692.84,2023-02-23 18:13:54,Synthetic payment record,WAVE_PAY,PREMIUM,2023-02,6,,VERIFIED,22692.84,000017,2023-02-24 18:13:54,synthetic-generator,200017,100268
300018,25574.18,2023-03-31 23:49:54,Synthetic payment record,AYA_PAY,PREMIUM,2023-03,7,,PENDING,25574.18,000018,2023-04-02 23:49:54,,200018,100269
300019,40067.85,2023-04-28 22:24:02,Synthetic payment record,BANK_TRANSFER,PREMIUM,2023-04,8,,VERIFIED,40067.85,000019,2023-04-30 22:24:02,synthetic-generator,200019,100270
300020,13831.61,2023-05-08 16:59:43,Synthetic payment record,KBZ_PAY,PREMIUM,2023-05,9,,VERIFIED,13831.61,000020,2023-05-10 16:59:43,synthetic-generator,200020,100271
300021,16656.53,2023-06-13 14:33:59,Synthetic payment record,WAVE_PAY,PREMIUM,2023-06,10,,PENDING,16656.53,000021,2023-06-14 14:33:59,,200021,100272
300022,28252.73,2023-07-03 18:24:19,Synthetic payment record,AYA_PAY,PREMIUM,2023-07,11,,VERIFIED,28252.73,000022,2023-07-04 18:24:19,synthetic-generator,200022,100273
300023,8634.95,2023-08-05 00:30:39,Synthetic payment record,BANK_TRANSFER,PREMIUM,2023-08,12,,VERIFIED,8634.95,000023,2023-08-06 00:30:39,synthetic-generator,200023,100274
300024,7471.84,2023-09-10 06:47:18,Synthetic payment record,KBZ_PAY,PREMIUM,2023-09,1,,VERIFIED,7471.84,000024,2023-09-11 06:47:18,synthetic-generator,200024,100275
300025,7266.42,2023-10-29 00:16:31,Synthetic payment record,WAVE_PAY,RENEWAL,2023-10,2,,VERIFIED,7266.42,000025,2023-10-31 00:16:31,synthetic-generator,200025,100276
300026,29392.34,2023-11-18 17:34:25,Synthetic payment record,AYA_PAY,PREMIUM,2023-11,3,,PENDING,29392.34,000026,2023-11-19 17:34:25,,200026,100277
300027,48044.77,2023-12-19 08:08:26,Synthetic payment record,BANK_TRANSFER,PREMIUM,2023-12,4,,VERIFIED,48044.77,000027,2023-12-19 08:08:26,synthetic-generator,200027,100278
300028,8823.77,2024-01-05 22:30:21,Synthetic payment record,KBZ_PAY,PREMIUM,2024-01,5,,VERIFIED,8823.77,000028,2024-01-05 22:30:21,synthetic-generator,200028,100279
300029,18400.17,2024-02-20 15:20:49,Synthetic payment record,WAVE_PAY,PREMIUM,2024-02,6,,VERIFIED,18400.17,000029,2024-02-23 15:20:49,synthetic-generator,200029,100280
300030,6555.68,2024-03-03 17:58:48,Synthetic payment record,AYA_PAY,PREMIUM,2024-03,7,,VERIFIED,6555.68,000030,2024-03-03 17:58:48,synthetic-generator,200030,100281
300031,28119.31,2024-04-23 16:25:08,Synthetic payment record,BANK_TRANSFER,PREMIUM,2024-04,8,,REJECTED,28119.31,000031,2024-04-24 16:25:08,,200031,100282
300032,22781.98,2024-05-20 23:57:15,Synthetic payment record,KBZ_PAY,RENEWAL,2024-05,9,,VERIFIED,22781.98,000032,2024-05-23 23:57:15,synthetic-generator,200032,100283
