id,admin_note,admin_signature,admin_signed_at,agent_note,agent_signature,agent_signed_at,common_info,coverage_amount,created_at,documents_path,duration,extra_info,form_data,notes,policy_number,premium_amount,revision_deadline,risk_level,status,updated_at,agent_id,customer_id,package_id
200000,Synthetic admin review completed,,2025-08-13 09:05:44,Synthetic agent verification,,2025-08-11 09:05:44,"{""synthetic"": true, ""occupation_group"": ""GROUP_1""}",8049425.10,2025-08-09 09:05:44,[],1,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": false}",Synthetic application generated for testing,SYN-POL-200000,8384.82,,HIGH,APPROVED,2025-08-13 09:05:44,100001,100251,9101
200001,Synthetic admin review completed,,2022-03-24 17:37:12,Synthetic agent verification,,2022-03-22 17:37:12,"{""synthetic"": true, ""occupation_group"": ""GROUP_2""}",4237434.47,2022-03-20 17:37:12,[],3,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,SYN-POL-200001,5296.79,,LOW,APPROVED,2022-03-27 17:37:12,100002,100252,9102
200002,Synthetic admin review completed,,2023-10-08 06:13:17,Synthetic agent verification,,2023-10-06 06:13:17,"{""synthetic"": true, ""occupation_group"": ""GROUP_3""}",11052509.02,2023-10-04 06:13:17,[],5,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,SYN-POL-200002,16118.24,,LOW,APPROVED,2023-10-13 06:13:17,100003,100253,9103
200003,Synthetic admin review completed,,2024-03-02 10:51:47,Synthetic agent verification,,2024-02-29 10:51:47,"{""synthetic"": true, ""occupation_group"": ""GROUP_4""}",29226306.59,2024-02-27 10:51:47,[],10,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,SYN-POL-200003,48710.51,,LOW,APPROVED,2024-02-28 10:51:47,100004,100254,9104
200004,,,,Synthetic agent verification,,2026-01-28 21:46:59,"{""synthetic"": true, ""occupation_group"": ""GROUP_5""}",13140076.69,2026-01-26 21:46:59,[],1,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,24637.64,,MEDIUM,VERIFIED,2026-02-03 21:46:59,100005,100255,9105
200005,,,,Synthetic agent verification,,2023-01-27 19:19:17,"{""synthetic"": true, ""occupation_group"": ""GROUP_6""}",1597039.87,2023-01-25 19:19:17,[],3,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,3327.17,,LOW,VERIFIED,2023-02-04 19:19:17,100006,100256,9106
200006,Synthetic admin review completed,,2022-10-20 23:56:39,Synthetic agent verification,,2022-10-18 23:56:39,"{""synthetic"": true, ""occupation_group"": ""GROUP_7""}",6640791.95,2022-10-16 23:56:39,[],5,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,SYN-POL-200006,6917.49,,LOW,APPROVED,2022-10-24 23:56:39,100007,100257,9107
200007,,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_8""}",7196892.45,2025-12-09 23:16:01,[],10,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,8996.12,2025-12-16 23:16:01,HIGH,REVISION_REQUESTED,2025-12-18 23:16:01,100008,100258,9108
200008,,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_9""}",3516154.17,2025-05-11 13:13:23,[],1,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,5127.72,,LOW,PENDING,2025-05-23 13:13:23,100009,100259,9109
200009,Synthetic admin review completed,,2025-03-26 00:24:26,Synthetic agent verification,,2025-03-24 00:24:26,"{""synthetic"": true, ""occupation_group"": ""GROUP_10""}",15805151.68,2025-03-22 00:24:26,[],3,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,SYN-POL-200009,26341.92,,LOW,APPROVED,2025-03-29 00:24:26,100010,100260,9110
200010,,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_11""}",15892774.94,2025-08-27 11:41:19,[],5,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,29798.95,,MEDIUM,PENDING,2025-08-29 11:41:19,100011,100261,9111
200011,Synthetic admin review completed,,2024-09-05 12:05:46,Synthetic agent verification,,2024-09-03 12:05:46,"{""synthetic"": true, ""occupation_group"": ""GROUP_12""}",11600583.07,2024-09-01 12:05:46,[],10,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,SYN-POL-200011,24167.88,,LOW,APPROVED,2024-09-03 12:05:46,100012,100262,9112
200012,Synthetic admin review completed,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_1""}",1002696.46,2024-06-24 11:59:05,[],1,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,1044.48,,LOW,REJECTED,2024-06-28 11:59:05,100013,100263,9113
