month,revenue,verified_premium_payment_count,excluded_payment_count
2021-09,645766.79,80,20
2021-10,863453.71,71,29
2021-11,1292867.96,78,22
2021-12,2080793.49,85,15
2022-01,866988.41,83,17
2022-02,1518569.12,79,21
2022-03,1486585.13,77,23
2022-04,2038367.93,77,23
2022-05,642508.22,75,25
2022-06,1410864.69,82,18
2022-07,1643009.69,74,26
2022-08,2252181.21,74,26
2022-09,675142.80,81,19
2022-10,1095470.13,75,25
2022-11,1301471.29,77,23
2022-12,1923121.96,76,24
2023-01,822393.73,67,33
2023-02,1720881.03,78,22
2023-03,1570872.76,78,22
2023-04,2658732.35,73,27
2023-05,722397.06,75,25
2023-06,1111456.98,67,33
2023-07,1721012.74,75,25
2023-08,2414661.85,76,24
2023-09,667845.29,82,18
2023-10,1206782.20,85,15
2023-11,1600812.73,84,16
2023-12,2098115.87,75,25
2024-01,886428.79,77,23
2024-02,1646920.52,75,25
2024-03,1588255.14,81,19
2024-04,2406065.37,76,24
2024-05,771595.49,75,25
2024-06,1534115.21,82,18
2024-07,2035793.37,81,19
2024-08,2652239.03,75,25
2024-09,741342.19,73,27
2024-10,1281567.90,76,24
2024-11,1569633.29,79,21
2024-12,2107619.29,74,26
2025-01,987633.97,77,23
2025-02,1526706.59,73,27
2025-03,1667851.70,69,31
2025-04,2887970.30,82,18
2025-05,868530.61,79,21
2025-06,1416252.00,81,19
2025-07,1938342.36,76,24
2025-08,2958003.06,80,20
2025-09,710225.91,76,24
2025-10,1390233.51,78,22
2025-11,1611310.74,80,20
2025-12,2081664.43,74,26
2026-01,970301.65,76,24
2026-02,1937691.48,78,22
2026-03,1880292.81,78,22
2026-04,2658974.60,72,28
2026-05,878250.98,81,19
2026-06,1357396.70,70,30
2026-07,2260308.99,80,20
2026-08,3118524.65,76,24
