employee_id,department,job_title,years_experience,performance_score,base_salary,allowances,overtime_hours,bonus,tax_rate,pension_rate,net_salary,record_month,synthetic
SYN-EMP-000001,Claims,Assistant,0,1.0,280000.00,22400.00,0,0.00,5,2,222980.42,2026-08,True
SYN-EMP-000002,Policy,Officer,1,1.1,373000.00,29840.00,1,3730.00,6,2,323622.46,2026-07,True
SYN-EMP-000003,Finance,Senior Officer,2,1.2,466000.00,37280.00,2,9320.00,7,2,418012.29,2026-06,True
SYN-EMP-000004,Customer Service,Team Lead,3,1.3,559000.00,44720.00,3,16770.00,8,2,495761.38,2026-05,True
SYN-EMP-000005,IT,Manager,4,1.4,652000.00,52160.00,4,26080.00,9,2,572966.82,2026-04,True
SYN-EMP-000006,Sales,Assistant,5,1.5,420000.00,33600.00,5,21000.00,10,2,387269.79,2026-03,True
SYN-EMP-000007,Claims,Officer,6,1.6,513000.00,41040.00,6,0.00,5,2,456826.94,2026-02,True
SYN-EMP-000008,Policy,Senior Officer,7,1.7,606000.00,48480.00,7,6060.00,6,2,559061.56,2026-01,True
SYN-EMP-000009,Finance,Team Lead,8,1.8,699000.00,55920.00,8,13980.00,7,2,640279.70,2025-12,True
SYN-EMP-000010,Customer Service,Manager,9,1.9,792000.00,63360.00,9,23760.00,8,2,684318.37,2025-11,True
SYN-EMP-000011,IT,Assistant,10,2.0,560000.00,44800.00,10,22400.00,9,2,522655.03,2025-10,True
SYN-EMP-000012,Sales,Officer,11,2.1,653000.00,52240.00,11,32650.00,10,2,607401.47,2025-09,True
SYN-EMP-000013,Claims,Senior Officer,12,2.2,746000.00,59680.00,12,0.00,5,2,691412.34,2025-08,True
SYN-EMP-000014,Policy,Team Lead,13,2.3,839000.00,67120.00,13,8390.00,6,2,744088.22,2025-07,True
SYN-EMP-000015,Finance,Manager,14,2.4,932000.00,74560.00,14,18640.00,7,2,819465.03,2025-06,True
SYN-EMP-000016,Customer Service,Assistant,15,2.5,700000.00,56000.00,15,21000.00,8,2,630521.94,2025-05,True
SYN-EMP-000017,IT,Officer,16,2.6,793000.00,63440.00,16,31720.00,9,2,711204.36,2025-04,True
SYN-EMP-000018,Sales,Senior Officer,17,2.7,886000.00,70880.00,17,44300.00,10,2,791030.62,2025-03,True
SYN-EMP-000019,Claims,Team Lead,18,2.8,979000.00,78320.00,18,0.00,5,2,897401.65,2025-02,True
SYN-EMP-000020,Policy,Manager,19,2.9,1072000.00,85760.00,19,10720.00,6,2,969971.89,2025-01,True
SYN-EMP-000021,Finance,Assistant,20,3.0,840000.00,67200.00,20,16800.00,7,2,759509.24,2024-12,True
SYN-EMP-000022,Customer Service,Officer,0,3.1,345000.00,27600.00,21,10350.00,8,2,308558.31,2024-11,True
SYN-EMP-000023,IT,Senior Officer,1,3.2,438000.00,35040.00,22,17520.00,9,2,408868.61,2024-10,True
SYN-EMP-000024,Sales,Team Lead,2,3.3,531000.00,42480.00,23,26550.00,10,2,468938.36,2024-09,True
