id,affected_count,ai_assisted,check_type,created_at,details,status,summary,total_checked
700000,0,1,APPLICATION,2026-07-12 12:34:49,"{""synthetic"": true, ""batch"": 0}",PARTIAL,Synthetic automated check,25
700001,1,0,CLAIM,2021-10-30 06:49:07,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,26
700002,2,0,PAYMENT,2023-05-15 11:29:09,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,27
700003,3,0,REVISION_CLEANUP,2026-05-26 03:56:30,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,28
700004,4,0,APPLICATION,2024-12-08 08:35:13,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,29
700005,5,1,CLAIM,2025-07-25 07:47:34,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,30
700006,6,0,PAYMENT,2022-09-23 12:48:00,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,31
700007,7,0,REVISION_CLEANUP,2022-12-25 08:59:49,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,32
700008,8,0,APPLICATION,2024-06-01 08:46:17,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,33
700009,9,0,CLAIM,2022-11-17 17:33:58,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,34
700010,10,1,PAYMENT,2025-03-26 14:00:21,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,35
700011,11,0,REVISION_CLEANUP,2024-08-01 02:28:45,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,36
700012,12,0,APPLICATION,2025-04-11 22:04:09,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,37
700013,13,0,CLAIM,2021-12-14 14:33:48,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,38
700014,14,0,PAYMENT,2025-05-28 09:32:18,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,39
700015,15,1,REVISION_CLEANUP,2023-10-12 10:32:31,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,40
700016,16,0,APPLICATION,2023-03-19 21:59:49,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,41
700017,0,0,CLAIM,2025-08-02 08:06:34,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,42
700018,1,0,PAYMENT,2023-02-16 09:19:17,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,43
700019,2,0,REVISION_CLEANUP,2023-04-25 03:38:59,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,44
700020,3,1,APPLICATION,2026-01-26 18:38:37,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,45
700021,4,0,CLAIM,2021-10-15 13:55:01,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,46
700022,5,0,PAYMENT,2023-10-15 05:39:52,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,47
700023,6,0,REVISION_CLEANUP,2023-05-29 02:55:20,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,48
700024,7,0,APPLICATION,2022-08-14 06:55:43,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,49
700025,8,1,CLAIM,2024-12-29 22:41:04,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,50
700026,9,0,PAYMENT,2026-08-08 10:38:39,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,51
700027,10,0,REVISION_CLEANUP,2021-12-01 06:47:37,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,52
700028,11,0,APPLICATION,2025-12-27 07:11:50,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,53
700029,12,0,CLAIM,2025-10-25 05:31:38,"{""synthetic"": true, ""batch"": 0}",PARTIAL,Synthetic automated check,54
700030,13,1,PAYMENT,2023-10-12 00:50:06,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,55
700031,14,0,REVISION_CLEANUP,2026-04-27 11:42:53,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,56
700032,15,0,APPLICATION,2025-01-20 00:02:41,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,57
700033,16,0,CLAIM,2025-09-07 15:19:48,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,58
700034,0,0,PAYMENT,2021-11-28 08:04:38,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,59
700035,1,1,REVISION_CLEANUP,2026-06-17 13:09:44,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,60
700036,2,0,APPLICATION,2025-02-10 14:41:00,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,61
700037,3,0,CLAIM,2021-12-23 11:09:46,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,62
700038,4,0,PAYMENT,2023-01-22 06:20:49,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,63
700039,5,0,REVISION_CLEANUP,2025-10-29 12:22:33,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,64
700040,6,1,APPLICATION,2024-06-28 23:11:12,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,65
700041,7,0,CLAIM,2025-10-02 12:24:01,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,66
700042,8,0,PAYMENT,2024-01-11 04:43:02,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,67
700043,9,0,REVISION_CLEANUP,2023-01-14 08:10:02,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,68
700044,10,0,APPLICATION,2023-04-19 21:47:45,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,69
700045,11,1,CLAIM,2024-01-07 17:27:50,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,70
700046,12,0,PAYMENT,2025-09-13 08:59:10,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,71
700047,13,0,REVISION_CLEANUP,2025-07-25 10:08:02,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,72
700048,14,0,APPLICATION,2021-11-22 02:52:26,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,73
700049,15,0,CLAIM,2025-11-02 23:10:21,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,74
700050,16,1,PAYMENT,2023-04-30 07:00:10,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,75
700051,0,0,REVISION_CLEANUP,2022-07-28 21:53:59,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,76
700052,1,0,APPLICATION,2025-11-30 13:59:29,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,77
700053,2,0,CLAIM,2026-08-22 22:25:26,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,78
700054,3,0,PAYMENT,2023-08-15 19:17:56,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,79
700055,4,1,REVISION_CLEANUP,2025-07-26 04:03:43,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,80
700056,5,0,APPLICATION,2024-11-17 14:50:03,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,81
700057,6,0,CLAIM,2026-02-05 18:23:48,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,82
700058,7,0,PAYMENT,2023-01-29 21:55:24,"{""synthetic"": true, ""batch"": 0}",PARTIAL,Synthetic automated check,83
700059,8,0,REVISION_CLEANUP,2025-06-28 10:31:06,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,84
700060,9,1,APPLICATION,2022-02-05 14:59:51,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,85
700061,10,0,CLAIM,2022-02-21 07:15:28,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,86
700062,11,0,PAYMENT,2022-04-21 22:00:36,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,87
700063,12,0,REVISION_CLEANUP,2022-09-30 03:49:19,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,88
700064,13,0,APPLICATION,2025-09-08 01:56:08,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,89
700065,14,1,CLAIM,2022-02-04 12:51:52,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,90
700066,15,0,PAYMENT,2025-08-20 14:12:33,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,91
700067,16,0,REVISION_CLEANUP,2025-05-22 05:23:55,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,92
700068,0,0,APPLICATION,2022-06-23 15:00:34,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,93
700069,1,0,CLAIM,2024-06-02 22:45:23,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,94
700070,2,1,PAYMENT,2024-11-12 12:36:28,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,95
700071,3,0,REVISION_CLEANUP,2022-01-06 19:00:36,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,96
700072,4,0,APPLICATION,2025-10-06 21:18:13,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,97
700073,5,0,CLAIM,2026-07-16 13:07:44,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,98
700074,6,0,PAYMENT,2022-10-25 09:01:13,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,99
700075,7,1,REVISION_CLEANUP,2023-05-23 05:07:48,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,100
700076,8,0,APPLICATION,2025-04-03 15:30:22,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,101
700077,9,0,CLAIM,2024-07-17 15:04:27,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,102
700078,10,0,PAYMENT,2023-11-05 02:37:32,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,103
700079,11,0,REVISION_CLEANUP,2025-02-09 10:18:17,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,104
700080,12,1,APPLICATION,2025-05-02 19:12:54,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,105
700081,13,0,CLAIM,2022-08-23 02:27:11,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,106
700082,14,0,PAYMENT,2022-01-08 22:23:30,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,107
700083,15,0,REVISION_CLEANUP,2022-03-05 17:52:01,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,108
700084,16,0,APPLICATION,2025-11-13 19:30:50,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,109
700085,0,1,CLAIM,2024-04-02 09:52:38,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,110
700086,1,0,PAYMENT,2025-03-31 18:27:15,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,111
700087,2,0,REVISION_CLEANUP,2025-09-15 10:17:48,"{""synthetic"": true, ""batch"": 0}",PARTIAL,Synthetic automated check,112
700088,3,0,APPLICATION,2021-10-24 11:06:46,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,113
700089,4,0,CLAIM,2024-06-21 21:20:18,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,114
700090,5,1,PAYMENT,2023-08-20 08:58:04,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,115
700091,6,0,REVISION_CLEANUP,2026-04-09 00:20:27,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,116
700092,7,0,APPLICATION,2026-07-06 20:47:32,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,117
700093,8,0,CLAIM,2022-08-29 18:18:16,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,118
700094,9,0,PAYMENT,2025-12-22 12:37:02,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,119
700095,10,1,REVISION_CLEANUP,2023-08-21 01:35:08,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,120
700096,11,0,APPLICATION,2024-12-16 18:18:20,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,121
700097,12,0,CLAIM,2021-09-07 16:40:30,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,122
700098,13,0,PAYMENT,2022-06-13 13:00:24,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,123
700099,14,0,REVISION_CLEANUP,2022-07-02 02:12:05,"{""synthetic"": true, ""batch"": 0}",SUCCESS,Synthetic automated check,124
700100,15,1,APPLICATION,2024-08-30 19:02:53,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,125
700101,16,0,CLAIM,2025-07-26 22:12:06,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,126
700102,0,0,PAYMENT,2022-10-20 09:55:21,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,127
700103,1,0,REVISION_CLEANUP,2022-04-25 00:03:08,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,128
700104,2,0,APPLICATION,2025-11-03 04:23:28,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,129
700105,3,1,CLAIM,2021-10-31 02:45:59,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,130
700106,4,0,PAYMENT,2022-10-18 22:27:08,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,131
700107,5,0,REVISION_CLEANUP,2024-06-17 22:36:34,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,132
700108,6,0,APPLICATION,2023-02-13 18:26:25,"{""synthetic"": true, ""batch"": 1}",SUCCESS,Synthetic automated check,133
