id,category,created_at,message,rating,is_read,customer_id
500000,SERVICE,2022-05-03 21:47:38,Synthetic feedback message 1; no real customer data.,1,0,101501
500001,PAYMENT,2023-08-09 19:43:44,Synthetic feedback message 2; no real customer data.,2,1,101502
500002,CLAIM,2022-12-21 19:33:15,Synthetic feedback message 3; no real customer data.,3,1,101503
500003,APPLICATION,2025-05-18 23:40:20,Synthetic feedback message 4; no real customer data.,4,1,101504
500004,PORTAL,2023-08-01 02:26:28,Synthetic feedback message 5; no real customer data.,5,0,101505
500005,SERVICE,2022-10-28 11:26:30,Synthetic feedback message 6; no real customer data.,1,1,101506
500006,PAYMENT,2024-01-20 16:05:56,Synthetic feedback message 7; no real customer data.,2,1,101507
500007,CLAIM,2025-11-07 21:17:56,Synthetic feedback message 8; no real customer data.,3,1,101508
500008,APPLICATION,2025-12-06 05:05:45,Synthetic feedback message 9; no real customer data.,4,0,101509
500009,PORTAL,2025-10-03 06:09:43,Synthetic feedback message 10; no real customer data.,5,1,101510
500010,SERVICE,2023-12-18 09:47:09,Synthetic feedback message 11; no real customer data.,1,1,101511
500011,PAYMENT,2025-01-15 22:17:06,Synthetic feedback message 12; no real customer data.,2,1,101512
500012,CLAIM,2022-05-07 03:32:21,Synthetic feedback message 13; no real customer data.,3,0,101513
500013,APPLICATION,2023-11-22 06:44:07,Synthetic feedback message 14; no real customer data.,4,1,101514
500014,PORTAL,2024-12-03 16:25:11,Synthetic feedback message 15; no real customer data.,5,1,101515
500015,SERVICE,2023-09-14 16:32:34,Synthetic feedback message 16; no real customer data.,1,1,101516
500016,PAYMENT,2024-02-14 01:11:36,Synthetic feedback message 17; no real customer data.,2,0,101517
500017,CLAIM,2022-11-03 10:14:59,Synthetic feedback message 18; no real customer data.,3,1,101518
500018,APPLICATION,2025-08-04 23:46:53,Synthetic feedback message 19; no real customer data.,4,1,101519
500019,PORTAL,2022-03-27 21:01:34,Synthetic feedback message 20; no real customer data.,5,1,101520
500020,SERVICE,2026-03-10 10:24:03,Synthetic feedback message 21; no real customer data.,1,0,101521
500021,PAYMENT,2025-06-16 03:52:48,Synthetic feedback message 22; no real customer data.,2,1,101522
500022,CLAIM,2024-04-04 02:52:17,Synthetic feedback message 23; no real customer data.,3,1,101523
500023,APPLICATION,2025-08-09 06:18:56,Synthetic feedback message 24; no real customer data.,4,1,101524
