id,created_at,message,is_read,target_role,title,type,recipient_id
600000,2023-03-29 23:07:19,Synthetic notification 1 for system testing.,0,ADMIN,Synthetic Info Notification,INFO,100000
600001,2026-08-14 17:13:30,Synthetic notification 2 for system testing.,1,AGENT,Synthetic Approval Notification,APPROVAL,100001
600002,2023-04-01 16:14:23,Synthetic notification 3 for system testing.,1,AGENT,Synthetic Rejection Notification,REJECTION,100002
600003,2024-07-30 15:27:21,Synthetic notification 4 for system testing.,0,AGENT,Synthetic Payment Notification,PAYMENT,100003
600004,2022-10-05 23:50:53,Synthetic notification 5 for system testing.,1,AGENT,Synthetic Claim Notification,CLAIM,100004
600005,2024-01-09 22:39:13,Synthetic notification 6 for system testing.,1,AGENT,Synthetic Reminder Notification,REMINDER,100005
600006,2024-12-13 18:08:23,Synthetic notification 7 for system testing.,0,AGENT,Synthetic Info Notification,INFO,100006
600007,2022-11-18 21:44:33,Synthetic notification 8 for system testing.,1,AGENT,Synthetic Approval Notification,APPROVAL,100007
600008,2023-08-13 03:18:37,Synthetic notification 9 for system testing.,1,AGENT,Synthetic Rejection Notification,REJECTION,100008
600009,2023-12-29 21:48:47,Synthetic notification 10 for system testing.,0,AGENT,Synthetic Payment Notification,PAYMENT,100009
600010,2024-05-29 19:26:56,Synthetic notification 11 for system testing.,1,AGENT,Synthetic Claim Notification,CLAIM,100010
600011,2023-06-21 23:58:43,Synthetic notification 12 for system testing.,1,AGENT,Synthetic Reminder Notification,REMINDER,100011
600012,2026-03-17 15:08:48,Synthetic notification 13 for system testing.,0,AGENT,Synthetic Info Notification,INFO,100012
600013,2026-03-12 08:21:08,Synthetic notification 14 for system testing.,1,AGENT,Synthetic Approval Notification,APPROVAL,100013
600014,2025-04-06 00:55:17,Synthetic notification 15 for system testing.,1,AGENT,Synthetic Rejection Notification,REJECTION,100014
600015,2025-08-25 14:05:51,Synthetic notification 16 for system testing.,0,AGENT,Synthetic Payment Notification,PAYMENT,100015
600016,2024-10-23 06:02:31,Synthetic notification 17 for system testing.,1,AGENT,Synthetic Claim Notification,CLAIM,100016
600017,2025-01-28 21:15:54,Synthetic notification 18 for system testing.,1,AGENT,Synthetic Reminder Notification,REMINDER,100017
600018,2026-06-02 04:54:25,Synthetic notification 19 for system testing.,0,AGENT,Synthetic Info Notification,INFO,100018
600019,2025-12-18 22:45:22,Synthetic notification 20 for system testing.,1,AGENT,Synthetic Approval Notification,APPROVAL,100019
600020,2025-12-13 19:06:09,Synthetic notification 21 for system testing.,1,AGENT,Synthetic Rejection Notification,REJECTION,100020
600021,2023-07-18 23:16:59,Synthetic notification 22 for system testing.,0,AGENT,Synthetic Payment Notification,PAYMENT,100021
600022,2024-04-12 09:37:23,Synthetic notification 23 for system testing.,1,AGENT,Synthetic Claim Notification,CLAIM,100022
600023,2025-01-31 06:54:45,Synthetic notification 24 for system testing.,1,AGENT,Synthetic Reminder Notification,REMINDER,100023
600024,2022-04-02 10:25:41,Synthetic notification 25 for system testing.,0,AGENT,Synthetic Info Notification,INFO,100024
600025,2022-05-13 08:36:26,Synthetic notification 26 for system testing.,1,AGENT,Synthetic Approval Notification,APPROVAL,100025
600026,2024-10-20 15:40:51,Synthetic notification 27 for system testing.,1,AGENT,Synthetic Rejection Notification,REJECTION,100026
600027,2022-08-04 13:58:40,Synthetic notification 28 for system testing.,0,AGENT,Synthetic Payment Notification,PAYMENT,100027
600028,2025-01-11 18:12:16,Synthetic notification 29 for system testing.,1,AGENT,Synthetic Claim Notification,CLAIM,100028
600029,2025-07-15 22:56:19,Synthetic notification 30 for system testing.,1,AGENT,Synthetic Reminder Notification,REMINDER,100029
600030,2023-03-18 11:22:15,Synthetic notification 31 for system testing.,0,AGENT,Synthetic Info Notification,INFO,100030
600031,2026-04-07 13:26:49,Synthetic notification 32 for system testing.,1,AGENT,Synthetic Approval Notification,APPROVAL,100031
600032,2026-08-17 23:06:29,Synthetic notification 33 for system testing.,1,AGENT,Synthetic Rejection Notification,REJECTION,100032
600033,2022-04-11 06:44:45,Synthetic notification 34 for system testing.,0,AGENT,Synthetic Payment Notification,PAYMENT,100033
600034,2026-03-25 17:06:06,Synthetic notification 35 for system testing.,1,AGENT,Synthetic Claim Notification,CLAIM,100034
600035,2025-12-06 03:53:11,Synthetic notification 36 for system testing.,1,AGENT,Synthetic Reminder Notification,REMINDER,100035
600036,2024-03-09 16:58:49,Synthetic notification 37 for system testing.,0,AGENT,Synthetic Info Notification,INFO,100036
600037,2022-01-09 21:40:26,Synthetic notification 38 for system testing.,1,AGENT,Synthetic Approval Notification,APPROVAL,100037
600038,2026-07-23 13:24:54,Synthetic notification 39 for system testing.,1,AGENT,Synthetic Rejection Notification,REJECTION,100038
600039,2023-03-06 03:41:54,Synthetic notification 40 for system testing.,0,AGENT,Synthetic Payment Notification,PAYMENT,100039
600040,2025-06-15 12:07:53,Synthetic notification 41 for system testing.,1,AGENT,Synthetic Claim Notification,CLAIM,100040
600041,2026-02-21 01:56:24,Synthetic notification 42 for system testing.,1,AGENT,Synthetic Reminder Notification,REMINDER,100041
600042,2024-03-26 09:48:35,Synthetic notification 43 for system testing.,0,AGENT,Synthetic Info Notification,INFO,100042
600043,2024-07-26 00:49:56,Synthetic notification 44 for system testing.,1,AGENT,Synthetic Approval Notification,APPROVAL,100043
600044,2022-01-10 04:05:24,Synthetic notification 45 for system testing.,1,AGENT,Synthetic Rejection Notification,REJECTION,100044
600045,2022-05-24 21:03:11,Synthetic notification 46 for system testing.,0,AGENT,Synthetic Payment Notification,PAYMENT,100045
600046,2025-01-11 13:22:15,Synthetic notification 47 for system testing.,1,AGENT,Synthetic Claim Notification,CLAIM,100046
600047,2026-01-18 03:33:22,Synthetic notification 48 for system testing.,1,AGENT,Synthetic Reminder Notification,REMINDER,100047
600048,2024-06-17 14:48:52,Synthetic notification 49 for system testing.,0,AGENT,Synthetic Info Notification,INFO,100048
600049,2023-11-30 05:17:57,Synthetic notification 50 for system testing.,1,AGENT,Synthetic Approval Notification,APPROVAL,100049
600050,2024-09-20 22:16:03,Synthetic notification 51 for system testing.,1,AGENT,Synthetic Rejection Notification,REJECTION,100050
600051,2021-09-27 21:26:58,Synthetic notification 52 for system testing.,0,AGENT,Synthetic Payment Notification,PAYMENT,100051
600052,2025-11-20 12:10:42,Synthetic notification 53 for system testing.,1,AGENT,Synthetic Claim Notification,CLAIM,100052
600053,2024-12-26 00:56:33,Synthetic notification 54 for system testing.,1,AGENT,Synthetic Reminder Notification,REMINDER,100053
600054,2026-03-15 07:27:00,Synthetic notification 55 for system testing.,0,AGENT,Synthetic Info Notification,INFO,100054
600055,2026-05-20 10:13:17,Synthetic notification 56 for system testing.,1,AGENT,Synthetic Approval Notification,APPROVAL,100055
600056,2023-10-26 05:30:47,Synthetic notification 57 for system testing.,1,AGENT,Synthetic Rejection Notification,REJECTION,100056
600057,2025-04-25 16:01:58,Synthetic notification 58 for system testing.,0,AGENT,Synthetic Payment Notification,PAYMENT,100057
600058,2022-09-15 11:06:08,Synthetic notification 59 for system testing.,1,AGENT,Synthetic Claim Notification,CLAIM,100058
600059,2024-08-31 02:46:43,Synthetic notification 60 for system testing.,1,AGENT,Synthetic Reminder Notification,REMINDER,100059
600060,2024-10-27 05:26:05,Synthetic notification 61 for system testing.,0,AGENT,Synthetic Info Notification,INFO,100060
600061,2023-05-24 08:41:55,Synthetic notification 62 for system testing.,1,AGENT,Synthetic Approval Notification,APPROVAL,100061
600062,2022-08-06 19:58:30,Synthetic notification 63 for system testing.,1,AGENT,Synthetic Rejection Notification,REJECTION,100062
600063,2022-06-27 03:54:44,Synthetic notification 64 for system testing.,0,AGENT,Synthetic Payment Notification,PAYMENT,100063
600064,2022-03-04 10:07:00,Synthetic notification 65 for system testing.,1,AGENT,Synthetic Claim Notification,CLAIM,100064
600065,2022-04-20 21:13:01,Synthetic notification 66 for system testing.,1,AGENT,Synthetic Reminder Notification,REMINDER,100065
600066,2022-03-19 00:20:04,Synthetic notification 67 for system testing.,0,AGENT,Synthetic Info Notification,INFO,100066
600067,2022-04-12 07:45:16,Synthetic notification 68 for system testing.,1,AGENT,Synthetic Approval Notification,APPROVAL,100067
