id,amount,created_at,notes,payment_method,payment_type,period_label,period_number,screenshot_path,status,transaction_amount,transaction_last_six_digits,updated_at,verified_by,application_id,customer_id
300000,1916.22,2021-09-30 08:28:36,Synthetic payment record,KBZ_PAY,PREMIUM,2021-09,1,,PENDING,1916.22,000000,2021-09-30 08:28:36,,200000,101501
300001,11488.88,2021-10-23 23:17:46,Synthetic payment record,WAVE_PAY,PREMIUM,2021-10,2,,VERIFIED,11488.88,000001,2021-10-25 23:17:46,synthetic-generator,200001,101502
300002,25440.58,2021-11-22 21:36:43,Synthetic payment record,AYA_PAY,PREMIUM,2021-11,3,,PENDING,25440.58,000002,2021-11-23 21:36:43,,200002,101503
300003,12195.53,2021-12-14 20:22:02,Synthetic payment record,BANK_TRANSFER,RENEWAL,2021-12,4,,VERIFIED,12195.53,000003,2021-12-17 20:22:02,synthetic-generator,200003,101504
300004,26523.58,2022-01-15 06:27:08,Synthetic payment record,KBZ_PAY,PREMIUM,2022-01,5,,VERIFIED,26523.58,000004,2022-01-16 06:27:08,synthetic-generator,200004,101505
300005,28219.38,2022-02-08 15:08:59,Synthetic payment record,WAVE_PAY,PREMIUM,2022-02,6,,VERIFIED,28219.38,000005,2022-02-11 15:08:59,synthetic-generator,200005,101506
300006,11239.96,2022-03-30 23:16:20,Synthetic payment record,AYA_PAY,PREMIUM,2022-03,7,,VERIFIED,11239.96,000006,2022-04-02 23:16:20,synthetic-generator,200006,101507
300007,33386.43,2022-04-22 03:29:58,Synthetic payment record,BANK_TRANSFER,PREMIUM,2022-04,8,,REJECTED,33386.43,000007,2022-04-25 03:29:58,,200007,101508
300008,10033.71,2022-05-20 22:36:22,Synthetic payment record,KBZ_PAY,PREMIUM,2022-05,9,,VERIFIED,10033.71,000008,2022-05-23 22:36:22,synthetic-generator,200008,101509
300009,9898.78,2022-06-24 03:01:24,Synthetic payment record,WAVE_PAY,PREMIUM,2022-06,10,,VERIFIED,9898.78,000009,2022-06-27 03:01:24,synthetic-generator,200009,101510
300010,20154.46,2022-07-25 09:58:53,Synthetic payment record,AYA_PAY,PREMIUM,2022-07,11,,VERIFIED,20154.46,000010,2022-07-27 09:58:53,synthetic-generator,200010,101511
