month,revenue,verified_premium_payment_count,excluded_payment_count
2021-09,1112376.60,191,59
2021-10,2250758.98,202,48
2021-11,3546459.20,196,54
2021-12,4828988.27,194,56
2022-01,2464899.08,189,61
2022-02,3758849.59,198,52
2022-03,2676834.68,189,61
2022-04,4817113.88,190,60
2022-05,1931574.33,190,60
2022-06,3581927.03,196,54
2022-07,4564467.17,188,62
2022-08,7359448.90,202,48
2022-09,1118675.75,190,60
2022-10,2229646.65,190,60
2022-11,3962829.78,188,62
2022-12,4978551.75,194,56
2023-01,2683442.31,202,48
2023-02,4192499.21,201,49
2023-03,2805758.22,192,58
2023-04,4847974.70,189,61
2023-05,1993354.43,198,52
2023-06,3588814.61,191,59
2023-07,4659765.77,186,64
2023-08,5888242.29,184,66
2023-09,1106102.64,176,74
2023-10,2427194.18,200,50
2023-11,4295820.34,199,51
2023-12,5248612.25,198,52
2024-01,2921708.28,196,54
2024-02,3951225.20,188,62
2024-03,3234260.75,197,53
2024-04,5479931.82,201,49
2024-05,1977677.86,192,58
2024-06,3754059.18,183,67
2024-07,4771624.75,194,56
2024-08,7311763.87,195,55
2024-09,1274820.45,198,52
2024-10,2690559.93,200,50
2024-11,4351779.52,193,57
2024-12,5855008.31,196,54
2025-01,2889102.05,199,51
2025-02,4202946.17,192,58
2025-03,3236216.74,192,58
2025-04,5377136.78,189,61
2025-05,2243349.49,191,59
2025-06,4037254.24,200,50
2025-07,5412955.42,202,48
2025-08,7791933.42,190,60
2025-09,1320082.59,197,53
2025-10,2477459.84,193,57
2025-11,4709892.68,202,48
2025-12,5681428.73,190,60
2026-01,2821118.25,187,63
2026-02,4459306.31,191,59
2026-03,3386267.88,188,62
2026-04,5662418.67,195,55
2026-05,2282219.16,190,60
2026-06,4227895.41,200,50
2026-07,5699926.23,205,45
2026-08,8428573.54,203,47
