employee_id,department,job_title,years_experience,performance_score,base_salary,allowances,overtime_hours,bonus,tax_rate,pension_rate,net_salary,record_month,synthetic
SYN-EMP-000001,Claims,Assistant,0,1.0,280000.00,22400.00,0,0.00,5,2,250308.56,2026-08,True
SYN-EMP-000002,Policy,Officer,1,1.1,373000.00,29840.00,1,3730.00,6,2,322714.64,2026-07,True
SYN-EMP-000003,Finance,Senior Officer,2,1.2,466000.00,37280.00,2,9320.00,7,2,387888.24,2026-06,True
SYN-EMP-000004,Customer Service,Team Lead,3,1.3,559000.00,44720.00,3,16770.00,8,2,506225.25,2026-05,True
SYN-EMP-000005,IT,Manager,4,1.4,652000.00,52160.00,4,26080.00,9,2,559085.54,2026-04,True
SYN-EMP-000006,Sales,Assistant,5,1.5,420000.00,33600.00,5,21000.00,10,2,394822.97,2026-03,True
SYN-EMP-000007,Claims,Officer,6,1.6,513000.00,41040.00,6,0.00,5,2,457238.58,2026-02,True
SYN-EMP-000008,Policy,Senior Officer,7,1.7,606000.00,48480.00,7,6060.00,6,2,532477.28,2026-01,True
SYN-EMP-000009,Finance,Team Lead,8,1.8,699000.00,55920.00,8,13980.00,7,2,638841.86,2025-12,True
SYN-EMP-000010,Customer Service,Manager,9,1.9,792000.00,63360.00,9,23760.00,8,2,731129.00,2025-11,True
SYN-EMP-000011,IT,Assistant,10,2.0,560000.00,44800.00,10,22400.00,9,2,503284.83,2025-10,True
SYN-EMP-000012,Sales,Officer,11,2.1,653000.00,52240.00,11,32650.00,10,2,572600.64,2025-09,True
SYN-EMP-000013,Claims,Senior Officer,12,2.2,746000.00,59680.00,12,0.00,5,2,650128.82,2025-08,True
SYN-EMP-000014,Policy,Team Lead,13,2.3,839000.00,67120.00,13,8390.00,6,2,775293.26,2025-07,True
SYN-EMP-000015,Finance,Manager,14,2.4,932000.00,74560.00,14,18640.00,7,2,854361.13,2025-06,True
SYN-EMP-000016,Customer Service,Assistant,15,2.5,700000.00,56000.00,15,21000.00,8,2,621921.68,2025-05,True
SYN-EMP-000017,IT,Officer,16,2.6,793000.00,63440.00,16,31720.00,9,2,709234.52,2025-04,True
SYN-EMP-000018,Sales,Senior Officer,17,2.7,886000.00,70880.00,17,44300.00,10,2,822861.18,2025-03,True
SYN-EMP-000019,Claims,Team Lead,18,2.8,979000.00,78320.00,18,0.00,5,2,907452.29,2025-02,True
SYN-EMP-000020,Policy,Manager,19,2.9,1072000.00,85760.00,19,10720.00,6,2,966788.65,2025-01,True
SYN-EMP-000021,Finance,Assistant,20,3.0,840000.00,67200.00,20,16800.00,7,2,787242.27,2024-12,True
SYN-EMP-000022,Customer Service,Officer,0,3.1,345000.00,27600.00,21,10350.00,8,2,336920.73,2024-11,True
SYN-EMP-000023,IT,Senior Officer,1,3.2,438000.00,35040.00,22,17520.00,9,2,421864.42,2024-10,True
SYN-EMP-000024,Sales,Team Lead,2,3.3,531000.00,42480.00,23,26550.00,10,2,478621.63,2024-09,True
SYN-EMP-000025,Claims,Manager,3,3.4,624000.00,49920.00,24,0.00,5,2,575368.91,2024-08,True
SYN-EMP-000026,Policy,Assistant,4,3.5,392000.00,31360.00,0,3920.00,6,2,348010.75,2024-07,True
SYN-EMP-000027,Finance,Officer,5,3.6,485000.00,38800.00,1,9700.00,7,2,463763.28,2024-06,True
SYN-EMP-000028,Customer Service,Senior Officer,6,3.7,578000.00,46240.00,2,17340.00,8,2,559568.67,2024-05,True
SYN-EMP-000029,IT,Team Lead,7,3.8,671000.00,53680.00,3,26840.00,9,2,615320.71,2024-04,True
SYN-EMP-000030,Sales,Manager,8,3.9,764000.00,61120.00,4,38200.00,10,2,710098.24,2024-03,True
SYN-EMP-000031,Claims,Assistant,9,4.0,532000.00,42560.00,5,0.00,5,2,478423.17,2024-02,True
SYN-EMP-000032,Policy,Officer,10,4.1,625000.00,50000.00,6,6250.00,6,2,565910.00,2024-01,True
SYN-EMP-000033,Finance,Senior Officer,11,4.2,718000.00,57440.00,7,14360.00,7,2,682244.59,2023-12,True
SYN-EMP-000034,Customer Service,Team Lead,12,4.3,811000.00,64880.00,8,24330.00,8,2,778744.01,2023-11,True
SYN-EMP-000035,IT,Manager,13,4.4,904000.00,72320.00,9,36160.00,9,2,839717.15,2023-10,True
SYN-EMP-000036,Sales,Assistant,14,4.5,672000.00,53760.00,10,33600.00,10,2,643722.76,2023-09,True
SYN-EMP-000037,Claims,Officer,15,4.6,765000.00,61200.00,11,0.00,5,2,720335.52,2023-08,True
SYN-EMP-000038,Policy,Senior Officer,16,4.7,858000.00,68640.00,12,8580.00,6,2,826141.65,2023-07,True
SYN-EMP-000039,Finance,Team Lead,17,4.8,951000.00,76080.00,13,19020.00,7,2,882886.75,2023-06,True
SYN-EMP-000040,Customer Service,Manager,18,4.9,1044000.00,83520.00,14,31320.00,8,2,986648.33,2023-05,True
SYN-EMP-000041,IT,Assistant,19,5.0,812000.00,64960.00,15,32480.00,9,2,764276.53,2023-04,True
SYN-EMP-000042,Sales,Officer,20,1.0,905000.00,72400.00,16,45250.00,10,2,784782.94,2023-03,True
SYN-EMP-000043,Claims,Senior Officer,0,1.1,410000.00,32800.00,17,0.00,5,2,342302.76,2023-02,True
SYN-EMP-000044,Policy,Team Lead,1,1.2,503000.00,40240.00,18,5030.00,6,2,462928.41,2023-01,True
SYN-EMP-000045,Finance,Manager,2,1.3,596000.00,47680.00,19,11920.00,7,2,515194.07,2022-12,True
SYN-EMP-000046,Customer Service,Assistant,3,1.4,364000.00,29120.00,20,10920.00,8,2,334505.30,2022-11,True
SYN-EMP-000047,IT,Officer,4,1.5,457000.00,36560.00,21,18280.00,9,2,382914.57,2022-10,True
SYN-EMP-000048,Sales,Senior Officer,5,1.6,550000.00,44000.00,22,27500.00,10,2,474799.35,2022-09,True
SYN-EMP-000049,Claims,Team Lead,6,1.7,643000.00,51440.00,23,0.00,5,2,577007.28,2022-08,True
SYN-EMP-000050,Policy,Manager,7,1.8,736000.00,58880.00,24,7360.00,6,2,638521.30,2022-07,True
SYN-EMP-000051,Finance,Assistant,8,1.9,504000.00,40320.00,0,10080.00,7,2,449706.71,2022-06,True
SYN-EMP-000052,Customer Service,Officer,9,2.0,597000.00,47760.00,1,17910.00,8,2,550465.00,2022-05,True
SYN-EMP-000053,IT,Senior Officer,10,2.1,690000.00,55200.00,2,27600.00,9,2,630281.46,2022-04,True
SYN-EMP-000054,Sales,Team Lead,11,2.2,783000.00,62640.00,3,39150.00,10,2,708567.65,2022-03,True
SYN-EMP-000055,Claims,Manager,12,2.3,876000.00,70080.00,4,0.00,5,2,772170.13,2022-02,True
SYN-EMP-000056,Policy,Assistant,13,2.4,644000.00,51520.00,5,6440.00,6,2,588803.97,2022-01,True
SYN-EMP-000057,Finance,Officer,14,2.5,737000.00,58960.00,6,14740.00,7,2,677577.34,2021-12,True
SYN-EMP-000058,Customer Service,Senior Officer,15,2.6,830000.00,66400.00,7,24900.00,8,2,758271.54,2021-11,True
SYN-EMP-000059,IT,Team Lead,16,2.7,923000.00,73840.00,8,36920.00,9,2,815642.89,2021-10,True
SYN-EMP-000060,Sales,Manager,17,2.8,1016000.00,81280.00,9,50800.00,10,2,920957.42,2021-09,True
SYN-EMP-000061,Claims,Assistant,18,2.9,784000.00,62720.00,10,0.00,5,2,711072.94,2026-08,True
SYN-EMP-000062,Policy,Officer,19,3.0,877000.00,70160.00,11,8770.00,6,2,803899.90,2026-07,True
SYN-EMP-000063,Finance,Senior Officer,20,3.1,970000.00,77600.00,12,19400.00,7,2,875187.96,2026-06,True
SYN-EMP-000064,Customer Service,Team Lead,0,3.2,475000.00,38000.00,13,14250.00,8,2,444304.72,2026-05,True
SYN-EMP-000065,IT,Manager,1,3.3,568000.00,45440.00,14,22720.00,9,2,543326.39,2026-04,True
SYN-EMP-000066,Sales,Assistant,2,3.4,336000.00,26880.00,15,16800.00,10,2,296491.40,2026-03,True
SYN-EMP-000067,Claims,Officer,3,3.5,429000.00,34320.00,16,0.00,5,2,388833.33,2026-02,True
SYN-EMP-000068,Policy,Senior Officer,4,3.6,522000.00,41760.00,17,5220.00,6,2,494115.09,2026-01,True
SYN-EMP-000069,Finance,Team Lead,5,3.7,615000.00,49200.00,18,12300.00,7,2,592319.05,2025-12,True
SYN-EMP-000070,Customer Service,Manager,6,3.8,708000.00,56640.00,19,21240.00,8,2,668911.12,2025-11,True
SYN-EMP-000071,IT,Assistant,7,3.9,476000.00,38080.00,20,19040.00,9,2,452340.92,2025-10,True
SYN-EMP-000072,Sales,Officer,8,4.0,569000.00,45520.00,21,28450.00,10,2,532493.22,2025-09,True
SYN-EMP-000073,Claims,Senior Officer,9,4.1,662000.00,52960.00,22,0.00,5,2,595813.97,2025-08,True
SYN-EMP-000074,Policy,Team Lead,10,4.2,755000.00,60400.00,23,7550.00,6,2,715401.81,2025-07,True
SYN-EMP-000075,Finance,Manager,11,4.3,848000.00,67840.00,24,16960.00,7,2,785657.27,2025-06,True
SYN-EMP-000076,Customer Service,Assistant,12,4.4,616000.00,49280.00,0,18480.00,8,2,558067.90,2025-05,True
SYN-EMP-000077,IT,Officer,13,4.5,709000.00,56720.00,1,28360.00,9,2,653923.91,2025-04,True
SYN-EMP-000078,Sales,Senior Officer,14,4.6,802000.00,64160.00,2,40100.00,10,2,740569.99,2025-03,True
SYN-EMP-000079,Claims,Team Lead,15,4.7,895000.00,71600.00,3,0.00,5,2,849909.16,2025-02,True
SYN-EMP-000080,Policy,Manager,16,4.8,988000.00,79040.00,4,9880.00,6,2,959529.15,2025-01,True
SYN-EMP-000081,Finance,Assistant,17,4.9,756000.00,60480.00,5,15120.00,7,2,715511.93,2024-12,True
SYN-EMP-000082,Customer Service,Officer,18,5.0,849000.00,67920.00,6,25470.00,8,2,812001.35,2024-11,True
SYN-EMP-000083,IT,Senior Officer,19,1.0,942000.00,75360.00,7,37680.00,9,2,834650.74,2024-10,True
