id,active,beneficiary_info,benefits,coverage_max,coverage_min,created_at,description,duration_tiers,eligibility,exclusions,max_claim_amount,min_policy_term,name,payment_frequency,payment_interval_months,policy_term,premium_rate,required_documents,terms_and_conditions,type,updated_at
9101,1,Synthetic beneficiary details required,"[""Synthetic base coverage"", ""Synthetic emergency support""]",10000000.00,1000000.00,2026-08-01 00:00:00,Synthetic life package 1,"[1, 3, 5, 10]",Synthetic customers aged 18 or above,Synthetic exclusions apply,8000000.00,1,Synthetic Life Plan 1,MONTHLY,1,1,0.0125,"[""Synthetic ID"", ""Synthetic application form""]",Synthetic records are not legally valid policies.,LIFE,2026-08-01 00:00:00
9102,1,Synthetic beneficiary details required,"[""Synthetic base coverage"", ""Synthetic emergency support""]",16500000.00,1500000.00,2026-08-01 00:00:00,Synthetic health package 2,"[1, 3, 5, 10]",Synthetic customers aged 18 or above,Synthetic exclusions apply,13200000.00,1,Synthetic Health Plan 2,QUARTERLY,3,3,0.0150,"[""Synthetic ID"", ""Synthetic application form""]",Synthetic records are not legally valid policies.,HEALTH,2026-08-01 00:00:00
9103,1,Synthetic beneficiary details required,"[""Synthetic base coverage"", ""Synthetic emergency support""]",24000000.00,2000000.00,2026-08-01 00:00:00,Synthetic motor package 3,"[1, 3, 5, 10]",Synthetic customers aged 18 or above,Synthetic exclusions apply,19200000.00,1,Synthetic Motor Plan 3,ANNUAL,12,5,0.0175,"[""Synthetic ID"", ""Synthetic application form""]",Synthetic records are not legally valid policies.,MOTOR,2026-08-01 00:00:00
9104,1,Synthetic beneficiary details required,"[""Synthetic base coverage"", ""Synthetic emergency support""]",32500000.00,2500000.00,2026-08-01 00:00:00,Synthetic travel package 4,"[1, 3, 5, 10]",Synthetic customers aged 18 or above,Synthetic exclusions apply,26000000.00,1,Synthetic Travel Plan 4,MONTHLY,1,10,0.0200,"[""Synthetic ID"", ""Synthetic application form""]",Synthetic records are not legally valid policies.,TRAVEL,2026-08-01 00:00:00
9105,1,Synthetic beneficiary details required,"[""Synthetic base coverage"", ""Synthetic emergency support""]",14000000.00,1000000.00,2026-08-01 00:00:00,Synthetic property package 5,"[1, 3, 5, 10]",Synthetic customers aged 18 or above,Synthetic exclusions apply,11200000.00,1,Synthetic Property Plan 5,QUARTERLY,3,1,0.0225,"[""Synthetic ID"", ""Synthetic application form""]",Synthetic records are not legally valid policies.,PROPERTY,2026-08-01 00:00:00
9106,1,Synthetic beneficiary details required,"[""Synthetic base coverage"", ""Synthetic emergency support""]",15000000.00,1500000.00,2026-08-01 00:00:00,Synthetic personal_accident package 6,"[1, 3, 5, 10]",Synthetic customers aged 18 or above,Synthetic exclusions apply,12000000.00,1,Synthetic Personal_Accident Plan 6,ANNUAL,12,3,0.0250,"[""Synthetic ID"", ""Synthetic application form""]",Synthetic records are not legally valid policies.,PERSONAL_ACCIDENT,2026-08-01 00:00:00
9107,1,Synthetic beneficiary details required,"[""Synthetic base coverage"", ""Synthetic emergency support""]",22000000.00,2000000.00,2026-08-01 00:00:00,Synthetic life package 7,"[1, 3, 5, 10]",Synthetic customers aged 18 or above,Synthetic exclusions apply,17600000.00,1,Synthetic Life Plan 7,MONTHLY,1,5,0.0125,"[""Synthetic ID"", ""Synthetic application form""]",Synthetic records are not legally valid policies.,LIFE,2026-08-01 00:00:00
9108,1,Synthetic beneficiary details required,"[""Synthetic base coverage"", ""Synthetic emergency support""]",30000000.00,2500000.00,2026-08-01 00:00:00,Synthetic health package 8,"[1, 3, 5, 10]",Synthetic customers aged 18 or above,Synthetic exclusions apply,24000000.00,1,Synthetic Health Plan 8,QUARTERLY,3,10,0.0150,"[""Synthetic ID"", ""Synthetic application form""]",Synthetic records are not legally valid policies.,HEALTH,2026-08-01 00:00:00
9109,1,Synthetic beneficiary details required,"[""Synthetic base coverage"", ""Synthetic emergency support""]",13000000.00,1000000.00,2026-08-01 00:00:00,Synthetic motor package 9,"[1, 3, 5, 10]",Synthetic customers aged 18 or above,Synthetic exclusions apply,10400000.00,1,Synthetic Motor Plan 9,ANNUAL,12,1,0.0175,"[""Synthetic ID"", ""Synthetic application form""]",Synthetic records are not legally valid policies.,MOTOR,2026-08-01 00:00:00
9110,1,Synthetic beneficiary details required,"[""Synthetic base coverage"", ""Synthetic emergency support""]",21000000.00,1500000.00,2026-08-01 00:00:00,Synthetic travel package 10,"[1, 3, 5, 10]",Synthetic customers aged 18 or above,Synthetic exclusions apply,16800000.00,1,Synthetic Travel Plan 10,MONTHLY,1,3,0.0200,"[""Synthetic ID"", ""Synthetic application form""]",Synthetic records are not legally valid policies.,TRAVEL,2026-08-01 00:00:00
9111,1,Synthetic beneficiary details required,"[""Synthetic base coverage"", ""Synthetic emergency support""]",20000000.00,2000000.00,2026-08-01 00:00:00,Synthetic property package 11,"[1, 3, 5, 10]",Synthetic customers aged 18 or above,Synthetic exclusions apply,16000000.00,1,Synthetic Property Plan 11,QUARTERLY,3,5,0.0225,"[""Synthetic ID"", ""Synthetic application form""]",Synthetic records are not legally valid policies.,PROPERTY,2026-08-01 00:00:00
9112,1,Synthetic beneficiary details required,"[""Synthetic base coverage"", ""Synthetic emergency support""]",27500000.00,2500000.00,2026-08-01 00:00:00,Synthetic personal_accident package 12,"[1, 3, 5, 10]",Synthetic customers aged 18 or above,Synthetic exclusions apply,22000000.00,1,Synthetic Personal_Accident Plan 12,ANNUAL,12,10,0.0250,"[""Synthetic ID"", ""Synthetic application form""]",Synthetic records are not legally valid policies.,PERSONAL_ACCIDENT,2026-08-01 00:00:00
9113,1,Synthetic beneficiary details required,"[""Synthetic base coverage"", ""Synthetic emergency support""]",12000000.00,1000000.00,2026-08-01 00:00:00,Synthetic life package 13,"[1, 3, 5, 10]",Synthetic customers aged 18 or above,Synthetic exclusions apply,9600000.00,1,Synthetic Life Plan 13,MONTHLY,1,1,0.0125,"[""Synthetic ID"", ""Synthetic application form""]",Synthetic records are not legally valid policies.,LIFE,2026-08-01 00:00:00
9114,1,Synthetic beneficiary details required,"[""Synthetic base coverage"", ""Synthetic emergency support""]",19500000.00,1500000.00,2026-08-01 00:00:00,Synthetic health package 14,"[1, 3, 5, 10]",Synthetic customers aged 18 or above,Synthetic exclusions apply,15600000.00,1,Synthetic Health Plan 14,QUARTERLY,3,3,0.0150,"[""Synthetic ID"", ""Synthetic application form""]",Synthetic records are not legally valid policies.,HEALTH,2026-08-01 00:00:00
9115,1,Synthetic beneficiary details required,"[""Synthetic base coverage"", ""Synthetic emergency support""]",28000000.00,2000000.00,2026-08-01 00:00:00,Synthetic motor package 15,"[1, 3, 5, 10]",Synthetic customers aged 18 or above,Synthetic exclusions apply,22400000.00,1,Synthetic Motor Plan 15,ANNUAL,12,5,0.0175,"[""Synthetic ID"", ""Synthetic application form""]",Synthetic records are not legally valid policies.,MOTOR,2026-08-01 00:00:00
9116,1,Synthetic beneficiary details required,"[""Synthetic base coverage"", ""Synthetic emergency support""]",25000000.00,2500000.00,2026-08-01 00:00:00,Synthetic travel package 16,"[1, 3, 5, 10]",Synthetic customers aged 18 or above,Synthetic exclusions apply,20000000.00,1,Synthetic Travel Plan 16,MONTHLY,1,10,0.0200,"[""Synthetic ID"", ""Synthetic application form""]",Synthetic records are not legally valid policies.,TRAVEL,2026-08-01 00:00:00
