id,amount,created_at,notes,payment_method,payment_type,period_label,period_number,screenshot_path,status,transaction_amount,transaction_last_six_digits,updated_at,verified_by,application_id,customer_id
300000,8936.52,2021-09-24 16:08:22,Synthetic payment record,KBZ_PAY,PREMIUM,2021-09,1,,VERIFIED,8936.52,000000,2021-09-24 16:08:22,synthetic-generator,200000,100301
300001,16602.54,2021-10-11 23:19:08,Synthetic payment record,WAVE_PAY,PREMIUM,2021-10,2,,VERIFIED,16602.54,000001,2021-10-12 23:19:08,synthetic-generator,200001,100302
300002,19177.52,2021-11-01 14:32:51,Synthetic payment record,AYA_PAY,PREMIUM,2021-11,3,,VERIFIED,19177.52,000002,2021-11-01 14:32:51,synthetic-generator,200002,100303
300003,29315.16,2021-12-01 23:56:23,Synthetic payment record,BANK_TRANSFER,RENEWAL,2021-12,4,,VERIFIED,29315.16,000003,2021-12-01 23:56:23,synthetic-generator,200003,100304
300004,7146.17,2022-01-07 12:47:03,Synthetic payment record,KBZ_PAY,PREMIUM,2022-01,5,,VERIFIED,7146.17,000004,2022-01-10 12:47:03,synthetic-generator,200004,100305
300005,5161.37,2022-02-13 09:26:16,Synthetic payment record,WAVE_PAY,PREMIUM,2022-02,6,,VERIFIED,5161.37,000005,2022-02-14 09:26:16,synthetic-generator,200005,100306
300006,17252.76,2022-03-15 13:14:30,Synthetic payment record,AYA_PAY,PREMIUM,2022-03,7,,PENDING,17252.76,000006,2022-03-18 13:14:30,,200006,100307
300007,32733.05,2022-04-22 05:49:10,Synthetic payment record,BANK_TRANSFER,RENEWAL,2022-04,8,,VERIFIED,32733.05,000007,2022-04-25 05:49:10,synthetic-generator,200007,100308
300008,13095.18,2022-05-24 19:25:28,Synthetic payment record,KBZ_PAY,PREMIUM,2022-05,9,,VERIFIED,13095.18,000008,2022-05-27 19:25:28,synthetic-generator,200008,100309
300009,10709.62,2022-06-24 23:20:02,Synthetic payment record,WAVE_PAY,PREMIUM,2022-06,10,,VERIFIED,10709.62,000009,2022-06-24 23:20:02,synthetic-generator,200009,100310
300010,6827.11,2022-07-18 02:57:04,Synthetic payment record,AYA_PAY,PREMIUM,2022-07,11,,REJECTED,6827.11,000010,2022-07-20 02:57:04,,200010,100311
300011,58373.65,2022-08-07 11:14:41,Synthetic payment record,BANK_TRANSFER,PREMIUM,2022-08,12,,VERIFIED,58373.65,000011,2022-08-09 11:14:41,synthetic-generator,200011,100312
300012,6366.00,2022-09-07 09:53:20,Synthetic payment record,KBZ_PAY,RENEWAL,2022-09,1,,VERIFIED,6366.00,000012,2022-09-10 09:53:20,synthetic-generator,200012,100313
300013,3100.37,2022-10-15 12:53:36,Synthetic payment record,WAVE_PAY,CLAIM_PAYOUT,2022-10,2,,VERIFIED,3100.37,000013,2022-10-15 12:53:36,synthetic-generator,200013,100314
300014,12172.05,2022-11-11 14:15:55,Synthetic payment record,AYA_PAY,PREMIUM,2022-11,3,,VERIFIED,12172.05,000014,2022-11-14 14:15:55,synthetic-generator,200014,100315
300015,33586.96,2022-12-13 21:21:08,Synthetic payment record,BANK_TRANSFER,PREMIUM,2022-12,4,,VERIFIED,33586.96,000015,2022-12-13 21:21:08,synthetic-generator,200015,100316
300016,14653.93,2023-01-19 00:59:14,Synthetic payment record,KBZ_PAY,PREMIUM,2023-01,5,,VERIFIED,14653.93,000016,2023-01-22 00:59:14,synthetic-generator,200016,100317
300017,34606.86,2023-02-26 20:12:14,Synthetic payment record,WAVE_PAY,RENEWAL,2023-02,6,,VERIFIED,34606.86,000017,2023-02-28 20:12:14,synthetic-generator,200017,100318
300018,19713.79,2023-03-25 05:09:53,Synthetic payment record,AYA_PAY,PREMIUM,2023-03,7,,VERIFIED,19713.79,000018,2023-03-28 05:09:53,synthetic-generator,200018,100319
300019,30089.35,2023-04-12 10:54:38,Synthetic payment record,BANK_TRANSFER,PREMIUM,2023-04,8,,VERIFIED,30089.35,000019,2023-04-14 10:54:38,synthetic-generator,200019,100320
300020,12922.51,2023-05-25 14:42:51,Synthetic payment record,KBZ_PAY,PREMIUM,2023-05,9,,PENDING,12922.51,000020,2023-05-27 14:42:51,,200020,100321
300021,3137.55,2023-06-21 05:18:49,Synthetic payment record,WAVE_PAY,PREMIUM,2023-06,10,,PENDING,3137.55,000021,2023-06-21 05:18:49,,200021,100322
300022,8738.67,2023-07-25 14:44:36,Synthetic payment record,AYA_PAY,PREMIUM,2023-07,11,,VERIFIED,8738.67,000022,2023-07-25 14:44:36,synthetic-generator,200022,100323
300023,40122.80,2023-08-02 16:33:12,Synthetic payment record,BANK_TRANSFER,PREMIUM,2023-08,12,,VERIFIED,40122.80,000023,2023-08-03 16:33:12,synthetic-generator,200023,100324
300024,6255.20,2023-09-14 20:43:04,Synthetic payment record,KBZ_PAY,RENEWAL,2023-09,1,,VERIFIED,6255.20,000024,2023-09-17 20:43:04,synthetic-generator,200024,100325
