id,admin_note,admin_signature,admin_signed_at,agent_note,agent_signature,agent_signed_at,common_info,coverage_amount,created_at,documents_path,duration,extra_info,form_data,notes,policy_number,premium_amount,revision_deadline,risk_level,status,updated_at,agent_id,customer_id,package_id
200000,Synthetic admin review completed,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_1""}",8407744.85,2025-11-02 19:21:16,[],1,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": false}",Synthetic application generated for testing,,8758.07,,LOW,REJECTED,2025-11-08 19:21:16,100001,100301,9101
200001,Synthetic admin review completed,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_2""}",14270959.26,2022-02-24 04:44:18,[],3,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,17838.70,,MEDIUM,REJECTED,2022-02-26 04:44:18,100002,100302,9102
200002,,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_3""}",15029355.86,2023-02-13 09:01:25,[],5,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,21917.81,,LOW,PENDING,2023-02-23 09:01:25,100003,100303,9103
200003,,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_4""}",19146470.90,2021-10-06 17:18:41,[],10,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,31910.78,,LOW,PENDING,2021-10-13 17:18:41,100004,100304,9104
200004,,,,Synthetic agent verification,,2025-07-29 12:33:17,"{""synthetic"": true, ""occupation_group"": ""GROUP_5""}",4034402.99,2025-07-27 12:33:17,[],1,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,7564.51,,MEDIUM,VERIFIED,2025-07-31 12:33:17,100005,100305,9105
200005,Synthetic admin review completed,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_6""}",2193108.07,2024-07-03 19:45:22,[],3,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,4568.98,,LOW,REJECTED,2024-07-12 19:45:22,100006,100306,9106
200006,Synthetic admin review completed,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_7""}",14683362.00,2023-12-27 11:21:58,[],5,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,15295.17,,MEDIUM,REJECTED,2024-01-04 11:21:58,100007,100307,9107
200007,,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_8""}",21459828.58,2022-06-24 23:31:02,[],10,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,26824.79,,MEDIUM,PENDING,2022-07-04 23:31:02,100008,100308,9108
200008,,,,Synthetic agent verification,,2025-11-14 06:45:24,"{""synthetic"": true, ""occupation_group"": ""GROUP_9""}",8798894.64,2025-11-12 06:45:24,[],1,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,12831.72,,LOW,VERIFIED,2025-11-22 06:45:24,100009,100309,9109
200009,Synthetic admin review completed,,,,,,"{""synthetic"": true, ""occupation_group"": ""GROUP_10""}",6392772.79,2026-06-14 06:18:09,[],3,"{""data_source"": ""synthetic_generator""}","{""synthetic"": true, ""risk_answers_complete"": true}",Synthetic application generated for testing,,10654.62,,LOW,REJECTED,2026-06-16 06:18:09,100010,100310,9110
