month,revenue,verified_premium_payment_count,excluded_payment_count
2021-09,1701297.71,193,57
2021-10,2760999.63,197,53
2021-11,3631449.95,202,48
2021-12,4787146.06,180,70
2022-01,1764272.87,196,54
2022-02,3391365.15,196,54
2022-03,4095870.77,191,59
2022-04,5987169.34,188,62
2022-05,1897669.46,192,58
2022-06,3188735.75,176,74
2022-07,4114828.33,202,48
2022-08,5601445.80,200,50
2022-09,1806272.94,191,59
2022-10,2746313.63,194,56
2022-11,3759654.87,203,47
2022-12,5824242.03,198,52
2023-01,2014397.94,194,56
2023-02,3644387.13,196,54
2023-03,4307371.01,192,58
2023-04,6168509.53,176,74
2023-05,2218613.42,205,45
2023-06,3282998.38,187,63
2023-07,4230853.44,200,50
2023-08,5368027.78,198,52
2023-09,1707633.78,191,59
2023-10,3335417.17,200,50
2023-11,3746624.21,191,59
2023-12,5405933.40,182,68
2024-01,1865639.68,182,68
2024-02,3731151.18,192,58
2024-03,4444071.65,188,62
2024-04,6812089.79,197,53
2024-05,2363115.57,203,47
2024-06,3484478.87,196,54
2024-07,4175727.73,192,58
2024-08,5912727.98,187,63
2024-09,2032784.08,196,54
2024-10,3582563.42,199,51
2024-11,4202376.90,200,50
2024-12,6232389.38,196,54
2025-01,2020208.23,187,63
2025-02,3689973.57,201,49
2025-03,4651051.49,196,54
2025-04,6469379.60,187,63
2025-05,2075218.85,188,62
2025-06,3724946.79,190,60
2025-07,4452679.53,192,58
2025-08,6421615.01,196,54
2025-09,2027852.52,196,54
2025-10,3551024.65,188,62
2025-11,4227336.63,198,52
2025-12,6789511.66,209,41
2026-01,2366395.48,204,46
2026-02,3819207.09,192,58
2026-03,4856463.41,197,53
2026-04,7023212.99,184,66
2026-05,2513290.33,193,57
2026-06,4372139.85,203,47
2026-07,4434545.05,193,57
2026-08,6586833.98,186,64
